n,k,t,lambda,mu,lib_id,members,source_method
26,12,6,5,6,1,10 11 12 13 14 16 19 21 22 23 24 25,exhaustive
26,12,6,5,6,1,10 11 12 13 18 19 20 21 22 23 24 25,exhaustive
26,12,6,5,6,1,10 11 12 14 15 16 19 20 21 23 24 25,exhaustive
26,12,6,5,6,1,10 11 14 15 18 19 20 21 22 23 24 25,exhaustive
26,12,6,5,6,1,10 12 13 14 16 17 18 19 21 22 23 25,exhaustive
26,12,6,5,6,1,10 12 14 15 16 17 18 19 20 21 23 25,exhaustive
26,12,6,5,6,1,10 13 14 16 17 18 19 20 21 22 23 25,exhaustive
26,12,6,5,6,1,11 12 13 14 16 18 19 21 23 24 25 26,exhaustive
26,12,6,5,6,1,11 12 13 14 19 20 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,11 12 14 15 16 18 19 21 22 23 25 26,exhaustive
26,12,6,5,6,1,11 12 15 16 19 20 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,12 13 14 16 17 18 19 20 21 23 24 25,exhaustive
26,12,6,5,6,1,12 13 16 17 18 19 20 21 22 23 24 25,exhaustive
26,12,6,5,6,1,12 14 15 16 17 18 19 20 21 22 23 25,exhaustive
26,12,6,5,6,1,13 14 16 17 18 19 20 21 22 23 25 26,exhaustive
26,12,6,5,6,1,13 14 17 18 19 20 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,14 15 16 17 18 19 20 21 22 23 24 25,exhaustive
26,12,6,5,6,1,15 16 17 18 19 20 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,2 11 13 14 16 18 19 20 21 23 25 26,exhaustive
26,12,6,5,6,1,2 11 13 14 16 19 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,2 11 14 15 16 18 19 20 21 23 24 25,exhaustive
26,12,6,5,6,1,2 11 14 15 18 19 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,2 13 16 17 18 19 20 21 22 23 24 25,exhaustive
26,12,6,5,6,1,2 13 16 17 19 20 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,2 15 17 18 19 20 21 22 23 24 25 26,exhaustive
26,12,6,5,6,1,2 3 10 11 12 13 18 19 20 21 22 23,exhaustive
26,12,6,5,6,1,2 3 10 11 13 16 18 19 20 21 23 26,exhaustive
26,12,6,5,6,1,2 3 10 11 14 15 18 19 20 21 22 23,exhaustive
26,12,6,5,6,1,2 3 10 11 15 16 18 19 20 21 23 24,exhaustive
26,12,6,5,6,1,2 3 12 13 16 17 18 19 20 21 22 23,exhaustive
26,12,6,5,6,1,2 3 12 13 17 18 19 20 21 22 23 24,exhaustive
26,12,6,5,6,1,2 3 14 15 16 17 18 19 20 21 22 23,exhaustive
26,12,6,5,6,1,2 3 14 15 17 19 20 21 22 23 24 26,exhaustive
26,12,6,5,6,1,2 3 4 10 11 12 13 14 19 20 21 23,exhaustive
26,12,6,5,6,1,2 3 4 10 11 12 13 19 20 21 23 26,exhaustive
26,12,6,5,6,1,2 3 4 10 11 13 18 19 20 21 23 26,exhaustive
26,12,6,5,6,1,2 3 4 10 11 15 18 19 21 22 23 26,exhaustive
26,12,6,5,6,1,2 3 4 10 13 17 19 20 21 23 24 26,exhaustive
26,12,6,5,6,1,2 3 4 10 15 17 19 21 22 23 24 26,exhaustive
26,12,6,5,6,1,2 3 4 11 12 13 18 19 20 21 22 23,exhaustive
26,12,6,5,6,1,2 3 4 15 16 17 19 21 22 23 24 26,exhaustive
26,12,6,5,6,1,2 3 4 5 10 11 12 13 18 19 20 21,exhaustive
26,12,6,5,6,1,2 3 4 5 10 11 12 13 19 20 21 22,exhaustive
26,12,6,5,6,1,2 3 4 5 10 11 14 15 18 19 20 21,exhaustive
26,12,6,5,6,1,2 3 4 5 11 12 13 14 19 20 21 22,exhaustive
26,12,6,5,6,1,2 3 4 5 11 12 14 15 18 19 21 22,exhaustive
26,12,6,5,6,1,2 3 4 5 11 12 14 15 19 20 21 24,exhaustive
26,12,6,5,6,1,2 3 4 5 12 13 14 16 17 19 20 21,exhaustive
26,12,6,5,6,1,2 3 4 5 12 13 14 17 19 21 22 26,exhaustive
26,12,6,5,6,1,2 3 4 5 12 13 16 17 18 19 20 21,exhaustive
26,12,6,5,6,1,2 3 4 5 12 14 15 16 17 18 19 21,exhaustive
26,12,6,5,6,1,2 3 4 5 12 14 15 17 19 21 24 26,exhaustive
26,12,6,5,6,1,2 3 4 5 14 15 16 17 18 19 20 21,exhaustive
26,12,6,5,6,1,2 3 4 5 14 15 16 17 19 21 24 26,exhaustive
26,12,6,5,6,1,2 3 4 5 6 10 13 17 18 19 20 21,exhaustive
26,12,6,5,6,1,2 3 4 5 6 13 14 16 17 19 21 24,exhaustive
26,12,6,5,6,1,2 3 4 5 6 14 15 16 17 19 21 26,exhaustive
26,12,6,5,6,1,2 3 4 5 6 15 16 17 18 19 21 26,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 10 11 12 13 18 19,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 10 11 14 15 18 19,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 11 12 13 19 20 26,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 11 13 16 19 22 24,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 11 15 16 19 20 24,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 12 13 16 17 18 19,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 13 16 17 18 19 22,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 14 15 16 17 18 19,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 15 16 17 18 19 20,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 8 11 13 14 19 22,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 8 9 10 11 12 13,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 8 9 10 11 13 26,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 8 9 10 11 14 15,exhaustive
26,12,6,5,6,1,2 3 4 5 6 7 8 9 10 11 15 24,exhaustive
