n,k,t,lambda,mu,lib_id,members,source_method
38,18,9,8,9,1,13 14 15 16 17 18 20 21 22 29 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 15 16 17 18 21 22 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 15 16 18 19 20 22 23 28 29 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 15 16 18 20 21 22 23 28 29 30 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 15 16 19 20 23 24 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 15 16 21 22 23 24 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 16 17 18 19 20 22 25 26 29 31 32 33 34 35 37 38,exhaustive
38,18,9,8,9,1,13 14 16 17 18 20 21 22 25 26 29 30 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,13 14 16 18 19 20 22 23 25 26 28 29 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,13 14 16 18 20 21 22 23 25 26 28 29 30 31 33 35 37 38,exhaustive
38,18,9,8,9,1,13 14 17 18 19 20 25 26 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 17 18 21 22 25 26 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 19 20 23 24 25 26 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 21 22 23 24 25 26 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,14 15 16 17 18 19 20 22 24 27 29 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,14 15 16 17 18 19 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,14 15 16 17 18 20 21 22 24 27 29 30 31 33 34 35 36 37,exhaustive
38,18,9,8,9,1,14 15 16 17 20 21 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,14 15 16 18 19 20 22 23 24 27 28 29 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,14 15 16 18 20 21 22 23 24 27 28 29 30 31 33 35 36 37,exhaustive
38,18,9,8,9,1,14 15 18 19 22 23 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,14 15 20 21 22 23 26 27 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,14 16 17 18 19 20 22 24 25 26 27 29 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,14 16 17 18 20 21 22 24 25 26 27 29 30 31 33 34 35 37,exhaustive
38,18,9,8,9,1,14 16 17 19 22 24 25 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,14 16 18 19 20 22 23 24 25 26 27 28 29 31 32 33 35 37,exhaustive
38,18,9,8,9,1,14 16 18 20 21 22 23 24 25 26 27 28 29 30 31 33 35 37,exhaustive
38,18,9,8,9,1,14 17 18 21 22 24 25 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,14 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,15 16 17 18 19 20 22 24 26 27 29 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,15 16 17 18 19 20 27 28 29 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,15 16 17 18 20 21 22 24 26 27 29 31 32 33 35 36 37 38,exhaustive
