group_id,param_id,graph_id,members,source_method
49,47,1385,11 12 13 16 18 20,exhaustive
49,47,1384,12 14 15 16 17 19,exhaustive
49,47,1384,12 14 16 18 20 21,exhaustive
49,47,1384,2 12 13 15 16 20,exhaustive
49,47,1386,2 3 10 13 14 18,exhaustive
49,47,1384,2 3 10 14 15 19,exhaustive
49,47,1385,2 3 10 15 16 20,exhaustive
49,47,1386,2 3 11 16 18 19,exhaustive
49,47,1387,2 3 13 17 18 19,exhaustive
49,47,1384,2 3 4 11 15 16,exhaustive
49,47,1385,2 3 4 5 15 19,exhaustive
49,47,1385,2 3 4 7 9 11,exhaustive
49,47,1384,2 3 4 8 9 19,exhaustive
49,47,1384,2 3 7 9 17 21,exhaustive
49,47,1387,2 3 8 10 16 18,exhaustive
49,47,1385,2 3 9 14 19 21,exhaustive
49,47,1384,2 4 10 12 17 18,exhaustive
49,47,1385,2 4 12 14 18 21,exhaustive
49,47,1385,2 4 12 15 16 17,exhaustive
49,47,1384,2 4 5 12 15 21,exhaustive
49,47,1385,2 4 6 10 18 20,exhaustive
49,47,1384,2 4 6 13 14 18,exhaustive
49,47,1384,2 4 6 7 9 20,exhaustive
49,47,1385,2 4 6 8 9 13,exhaustive
49,47,1385,2 5 6 13 18 19,exhaustive
49,47,1386,2 5 6 15 16 21,exhaustive
49,47,1384,2 5 6 9 13 16,exhaustive
49,47,1387,2 5 7 9 10 12,exhaustive
49,47,1384,2 6 10 11 18 19,exhaustive
49,47,1387,2 6 11 13 15 21,exhaustive
49,47,1386,2 6 7 13 15 20,exhaustive
49,47,1387,2 6 7 14 15 16,exhaustive
49,47,1385,2 6 7 9 16 17,exhaustive
49,47,1385,2 7 10 11 12 18,exhaustive
49,47,1384,2 7 8 12 18 21,exhaustive
49,47,1386,2 7 8 9 12 19,exhaustive
49,47,1385,2 8 12 13 15 21,exhaustive
49,47,1386,2 9 10 12 17 21,exhaustive
49,47,1387,2 9 12 19 20 21,exhaustive
49,47,1384,3 10 11 15 20 21,exhaustive
49,47,1387,3 11 16 17 18 21,exhaustive
49,47,1385,3 13 14 15 17 19,exhaustive
49,47,1385,3 4 10 11 14 15,exhaustive
49,47,1387,3 4 10 14 18 20,exhaustive
49,47,1386,3 4 11 18 20 21,exhaustive
49,47,1387,3 4 5 11 18 19,exhaustive
49,47,1384,3 4 5 13 14 15,exhaustive
49,47,1386,3 4 5 7 14 18,exhaustive
49,47,1385,3 4 8 9 17 21,exhaustive
49,47,1384,3 4 9 10 11 17,exhaustive
49,47,1386,3 5 17 18 19 21,exhaustive
49,47,1384,3 5 7 15 17 19,exhaustive
49,47,1387,3 5 7 18 20 21,exhaustive
49,47,1385,3 5 7 8 13 15,exhaustive
49,47,1385,3 5 7 9 10 17,exhaustive
49,47,1384,3 5 7 9 11 13,exhaustive
49,47,1384,3 5 9 10 16 20,exhaustive
49,47,1385,3 5 9 13 14 16,exhaustive
49,47,1385,3 7 15 17 20 21,exhaustive
49,47,1386,3 7 8 10 18 20,exhaustive
49,47,1387,3 7 8 13 14 18,exhaustive
49,47,1384,3 7 8 15 16 20,exhaustive
