n,k,t,lambda,mu,lib_id,members,source_method
96,22,16,8,4,3,5 20 23 26 31 32 40 41 46 49 52 60 64 65 66 74 78 83 84 87 90 91,rrhc
96,22,16,8,4,3,5 20 23 31 32 37 38 40 41 46 49 52 53 54 63 64 65 66 74 78 91 92,inverse
96,45,25,20,22,13,2 3 4 5 6 8 9 10 11 15 19 21 23 26 27 28 30 32 34 35 37 39 40 44 46 48 49 56 58 60 63 65 67 71 74 77 79 82 85 87 88 89 90 92 93,rrhc
96,45,25,20,22,13,2 4 5 6 7 8 10 11 13 14 22 26 27 28 29 30 32 34 36 38 40 41 43 45 47 49 56 58 60 64 68 69 70 72 73 74 77 79 86 87 90 92 93 94 95,inverse
96,45,25,20,22,22,2 3 5 7 8 9 12 13 16 18 19 20 24 25 26 30 37 38 39 40 47 48 49 50 52 53 54 61 62 63 64 65 67 71 72 73 74 75 76 82 83 84 85 89 94,rrhc
96,45,25,20,22,22,2 3 5 8 9 12 13 18 20 21 22 23 24 25 26 27 30 38 41 43 44 45 46 49 50 51 52 61 62 63 66 68 69 70 74 78 82 83 84 86 87 88 90 94 95,inverse
96,45,25,20,22,38,2 3 4 5 6 7 9 10 11 13 19 21 26 28 29 31 32 33 38 41 44 46 48 49 53 55 56 57 58 63 66 68 69 70 71 76 77 80 86 87 88 91 93 95 96,rrhc
96,45,25,20,22,38,2 4 5 6 9 10 11 14 15 16 22 23 26 28 29 31 32 33 35 36 37 39 40 43 45 47 49 53 55 56 57 58 64 65 67 72 73 76 77 80 85 89 91 93 96,inverse
96,45,25,20,22,44,3 5 7 8 9 10 11 12 13 14 16 17 20 27 28 30 32 37 39 41 45 47 48 51 53 59 61 62 63 70 71 72 73 74 76 78 80 81 82 85 87 88 90 91 95,inverse
96,45,25,20,22,44,3 5 8 9 11 14 16 17 19 20 21 22 23 27 31 32 33 35 36 37 41 43 44 46 51 53 56 58 59 62 64 67 68 74 76 78 80 81 84 86 87 89 90 91 94,rrhc
96,11,4,3,1,64,6 22 35 48 49 64 75 86 91 95 96,rrhc
96,11,4,3,1,64,6 22 40 42 48 71 72 75 77 92 93,inverse
96,14,6,2,2,64,22 29 30 31 39 40 41 48 60 70 74 75 76 91,rrhc
96,14,6,2,2,64,22 29 33 36 48 50 60 62 66 75 76 77 85 95,inverse
96,25,10,5,7,64,4 11 12 18 22 25 27 28 30 31 32 33 37 38 53 57 58 59 60 64 65 66 67 85 86,inverse
96,25,10,5,7,64,9 12 17 25 27 28 29 30 33 34 41 43 44 46 47 48 53 57 58 59 62 70 71 72 89,rrhc
96,36,15,11,15,64,3 5 6 8 11 14 15 18 19 25 31 32 36 38 39 40 45 52 55 56 59 60 63 64 67 71 73 76 77 78 81 82 84 88 91 93,inverse
96,36,15,11,15,64,6 8 9 13 14 20 21 26 29 34 36 39 44 45 46 51 53 59 62 63 69 72 73 76 77 81 82 84 86 87 89 90 91 94 95 96,rrhc
