n,k,t,lambda,mu,lib_id,members,source_method
39,10,6,1,3,1,10 12 14 18 21 23 25 27 32 34,exhaustive
39,10,6,1,3,1,10 12 18 19 20 21 27 29 34 38,exhaustive
39,10,6,1,3,1,11 12 13 18 20 21 22 27 29 37,exhaustive
39,10,6,1,3,1,11 12 17 18 21 22 23 25 27 28,exhaustive
39,10,6,1,3,1,12 14 18 20 21 26 27 34 37 39,exhaustive
39,10,6,1,3,1,12 18 19 20 21 22 25 26 27 32,exhaustive
39,10,6,1,3,1,12 18 21 23 27 29 31 34 35 37,exhaustive
39,10,6,1,3,1,2 11 12 16 18 20 21 25 27 39,exhaustive
39,10,6,1,3,1,2 12 16 18 19 21 22 27 29 35,exhaustive
39,10,6,1,3,1,2 3 15 17 24 28 29 34 36 39,exhaustive
39,10,6,1,3,1,2 3 4 10 14 15 24 29 36 37,exhaustive
39,10,6,1,3,1,2 3 4 13 15 20 23 24 34 36,exhaustive
39,10,6,1,3,1,2 3 5 10 15 19 23 24 36 39,exhaustive
39,10,6,1,3,1,2 3 7 13 14 15 19 24 26 36,exhaustive
39,10,6,1,3,1,2 3 7 15 20 24 28 36 37 38,exhaustive
39,10,6,1,3,1,2 4 11 12 18 19 21 27 28 32,exhaustive
39,10,6,1,3,1,2 4 5 6 9 22 25 30 33 38,exhaustive
39,10,6,1,3,1,2 4 6 9 16 17 26 30 31 33,exhaustive
39,10,6,1,3,1,2 4 7 8 12 18 21 27 35 39,exhaustive
39,10,6,1,3,1,2 5 6 8 9 16 30 33 34 37,exhaustive
39,10,6,1,3,1,2 6 9 10 11 22 26 30 33 34,exhaustive
39,10,6,1,3,1,2 6 9 10 13 30 31 33 35 38,exhaustive
39,10,6,1,3,1,2 6 9 13 17 25 30 32 33 37,exhaustive
39,10,6,1,3,1,2 7 12 18 21 22 23 27 31 32,exhaustive
39,10,6,1,3,1,2 8 12 14 18 21 25 27 28 31,exhaustive
39,10,6,1,3,1,3 10 11 15 24 29 31 32 36 39,exhaustive
39,10,6,1,3,1,3 10 14 15 17 19 24 28 35 36,exhaustive
39,10,6,1,3,1,3 11 15 24 25 26 31 36 37 38,exhaustive
39,10,6,1,3,1,3 14 15 16 22 24 26 28 36 38,exhaustive
