n,k,t,lambda,mu,lib_id,members,source_method
100,42,36,14,20,10,3 5 10 12 13 15 17 18 23 25 30 32 35 39 41 43 47 48 49 53 54 56 59 60 63 64 66 70 74 77 78 79 80 85 87 89 91 93 94 95 99 100,rrhc
100,42,36,14,20,10,3 5 10 12 13 15 17 18 23 25 30 32 39 41 43 46 47 48 49 53 54 56 59 61 63 64 70 72 74 76 78 79 83 85 87 89 91 92 93 94 95 100,inverse
100,18,9,4,3,11,14 19 29 41 42 46 50 51 72 79 82 85 87 92 94 95 97 100,inverse
100,18,9,4,3,11,5 12 14 19 23 29 42 45 46 48 51 63 66 72 80 85 94 96,rrhc
100,36,18,11,14,9,7 8 12 13 14 15 20 29 30 31 32 34 41 43 45 46 48 56 57 58 59 60 61 62 63 72 73 75 79 80 85 88 89 93 94 99,rrhc
100,37,33,16,12,11,2 4 9 11 17 18 21 22 24 28 30 37 38 40 44 46 47 57 58 61 62 63 64 68 71 73 75 78 82 83 84 86 88 89 91 92 96,rrhc
100,39,18,17,14,11,3 5 7 8 12 14 16 21 24 27 31 32 33 36 37 41 42 47 49 52 55 58 62 63 66 68 69 73 76 77 83 85 86 89 92 93 95 97 100,rrhc
100,39,18,17,14,12,2 3 8 9 12 17 19 22 23 27 29 30 33 37 41 43 45 47 49 54 55 59 63 64 67 71 73 75 76 78 80 83 87 88 89 91 94 97 99,rrhc
100,41,22,15,18,11,2 4 9 10 13 15 16 18 19 23 28 31 32 33 34 35 40 41 44 45 46 47 48 51 52 54 57 59 62 70 74 75 76 80 86 87 88 90 91 97 100,rrhc
100,42,36,14,20,9,5 6 10 11 12 13 18 21 23 24 25 29 30 34 35 41 45 49 50 51 57 61 62 63 65 66 68 73 74 76 79 81 84 86 87 90 92 93 94 95 97 100,rrhc
100,42,36,14,20,10,3 5 13 16 18 20 24 25 32 35 36 39 41 44 45 47 49 52 53 56 57 58 59 62 64 65 68 69 74 78 79 81 82 83 85 86 88 89 94 96 97 98,rrhc
100,43,24,19,18,9,3 6 7 9 14 15 17 18 19 22 23 28 30 32 33 34 35 36 37 40 41 44 51 52 55 56 57 58 59 60 66 71 72 77 78 80 88 91 92 93 94 97 98,rrhc
100,43,24,19,18,10,2 4 7 8 9 11 13 15 16 17 19 21 22 24 27 28 29 33 37 39 40 43 44 46 47 51 55 57 58 61 65 67 72 73 74 76 77 85 86 88 90 94 99,rrhc
100,47,41,24,20,9,3 4 8 9 16 18 19 21 22 23 24 29 31 33 34 35 36 38 44 46 52 53 57 58 59 60 64 67 68 69 73 74 77 80 81 82 83 84 85 86 87 88 90 91 93 97 98,rrhc
100,47,41,24,20,10,2 4 9 10 11 12 15 18 19 21 22 24 27 30 31 33 34 35 36 37 39 44 51 57 58 61 62 64 66 68 72 74 81 82 83 84 85 86 88 90 91 94 95 97 98 99 100,rrhc
100,18,9,4,3,11,2 4 10 14 15 18 21 23 29 33 48 51 54 64 78 86 97 98,rrhc
100,18,9,4,3,12,2 8 9 17 20 22 38 50 60 68 69 72 76 77 87 89 99 100,rrhc
