group_id,param_id,graph_id,members,source_method
140,167,1667,10 11 12 13 14 15 16 17 26 27 28 29 30 31 32 33,exhaustive
140,167,1667,10 11 12 13 14 15 16 17 27 28 29 30 31 32 33 34,exhaustive
140,167,1670,10 11 12 13 14 15 16 19 24 27 28 29 30 31 32 33,exhaustive
140,167,1671,10 11 12 13 14 15 18 19 26 27 28 29 30 31 32 33,exhaustive
140,167,1684,10 11 12 13 14 16 17 21 22 26 27 29 30 31 32 33,exhaustive
140,167,1688,10 11 12 13 14 16 19 21 22 24 27 29 30 31 32 33,exhaustive
140,167,1685,10 11 12 13 16 17 20 21 26 27 28 29 30 31 32 33,exhaustive
140,167,1694,10 11 12 13 16 17 21 24 26 27 28 29 30 31 33 34,exhaustive
140,167,1689,10 11 12 13 18 19 20 21 26 27 28 29 30 31 32 33,exhaustive
140,167,1699,10 11 12 14 15 16 17 20 23 26 27 28 29 31 32 33,exhaustive
140,167,1678,10 11 12 14 15 16 19 20 23 24 27 28 29 31 32 33,exhaustive
140,167,1699,10 11 12 14 16 17 20 21 22 23 26 27 29 31 32 33,exhaustive
140,167,1699,10 11 12 14 16 19 20 21 22 23 24 27 29 31 32 33,exhaustive
140,167,1695,10 11 13 14 16 17 18 20 21 27 28 29 31 32 33 34,exhaustive
140,167,1698,10 11 14 15 16 17 22 23 26 27 28 29 30 31 32 33,exhaustive
140,167,1679,10 11 14 15 18 19 22 23 26 27 28 29 30 31 32 33,exhaustive
140,167,1698,10 11 16 17 20 21 22 23 26 27 28 29 30 31 32 33,exhaustive
140,167,1698,10 11 18 19 20 21 22 23 26 27 28 29 30 31 32 33,exhaustive
140,167,1673,10 12 13 14 15 16 17 18 25 26 27 28 29 30 31 33,exhaustive
140,167,1687,10 12 13 14 15 16 18 19 24 25 27 28 29 30 31 33,exhaustive
140,167,1672,10 12 13 14 15 17 22 24 25 26 27 28 29 30 31 33,exhaustive
140,167,1680,10 12 13 14 16 17 18 21 22 25 26 27 29 30 31 33,exhaustive
140,167,1683,10 12 13 14 16 18 19 21 22 24 25 27 29 30 31 33,exhaustive
140,167,1686,10 12 13 15 16 19 22 24 25 26 27 28 29 30 31 33,exhaustive
140,167,1678,10 12 14 15 16 17 18 20 23 25 26 27 28 29 31 33,exhaustive
140,167,1673,10 12 14 15 16 18 19 20 23 24 25 27 28 29 31 33,exhaustive
140,167,1668,10 12 14 16 17 18 20 21 22 23 25 26 27 29 31 33,exhaustive
140,167,1667,10 12 14 16 18 19 20 21 22 23 24 25 27 29 31 33,exhaustive
140,167,1679,10 12 15 17 18 20 22 23 24 25 26 27 28 29 31 33,exhaustive
