n,k,t,lambda,mu,lib_id,members,source_method
20,8,4,2,4,1,10 12 13 14 15 16 17 19,exhaustive
20,8,4,2,4,1,12 14 15 16 17 18 19 20,exhaustive
20,8,4,2,4,1,2 4 5 6 7 8 9 11,exhaustive
20,8,4,2,4,1,2 4 5 7 10 12 13 15,exhaustive
20,8,4,2,4,1,2 4 5 7 12 14 15 17,exhaustive
20,8,4,2,4,1,2 4 5 7 8 11 18 20,exhaustive
20,8,4,2,4,1,2 5 12 15 16 18 19 20,exhaustive
20,8,4,2,4,1,2 5 6 9 12 15 16 19,exhaustive
20,8,4,2,4,1,2 5 8 10 11 13 16 19,exhaustive
20,8,4,2,4,1,2 5 8 11 14 16 17 19,exhaustive
20,8,4,2,4,1,4 6 7 8 9 10 11 13,exhaustive
20,8,4,2,4,1,4 6 7 9 12 14 15 17,exhaustive
20,8,4,2,4,1,4 6 7 9 12 15 18 20,exhaustive
20,8,4,2,4,1,4 7 10 12 13 15 18 20,exhaustive
20,8,4,2,4,1,4 7 8 10 11 13 14 17,exhaustive
20,8,4,2,4,1,4 7 8 11 14 17 18 20,exhaustive
20,8,4,2,4,1,6 8 9 11 14 16 17 19,exhaustive
20,8,4,2,4,1,6 8 9 11 16 18 19 20,exhaustive
20,8,4,2,4,1,6 9 10 12 13 15 16 19,exhaustive
20,8,4,2,4,1,8 10 11 13 16 18 19 20,exhaustive
20,9,5,4,4,1,2 3 4 5 6 7 8 9 11,exhaustive
20,9,5,4,4,1,2 3 4 5 7 10 12 13 15,exhaustive
20,9,5,4,4,1,2 3 4 5 7 12 14 15 17,exhaustive
20,9,5,4,4,1,2 3 4 5 7 8 11 18 20,exhaustive
20,9,5,4,4,1,2 3 5 12 15 16 18 19 20,exhaustive
20,9,5,4,4,1,2 3 5 6 9 12 15 16 19,exhaustive
20,9,5,4,4,1,2 3 5 8 10 11 13 16 19,exhaustive
20,9,5,4,4,1,2 3 5 8 11 14 16 17 19,exhaustive
20,9,5,4,4,1,3 10 12 13 14 15 16 17 19,exhaustive
20,9,5,4,4,1,3 12 14 15 16 17 18 19 20,exhaustive
20,9,5,4,4,1,3 4 6 7 8 9 10 11 13,exhaustive
20,9,5,4,4,1,3 4 6 7 9 12 14 15 17,exhaustive
20,9,5,4,4,1,3 4 6 7 9 12 15 18 20,exhaustive
20,9,5,4,4,1,3 4 7 10 12 13 15 18 20,exhaustive
20,9,5,4,4,1,3 4 7 8 10 11 13 14 17,exhaustive
20,9,5,4,4,1,3 4 7 8 11 14 17 18 20,exhaustive
20,9,5,4,4,1,3 6 8 9 11 14 16 17 19,exhaustive
20,9,5,4,4,1,3 6 8 9 11 16 18 19 20,exhaustive
20,9,5,4,4,1,3 6 9 10 12 13 15 16 19,exhaustive
20,9,5,4,4,1,3 8 10 11 13 16 18 19 20,exhaustive
20,4,1,0,1,3,12 14 15 17,exhaustive
20,4,1,0,1,3,16 18 19 20,exhaustive
20,4,1,0,1,3,2 12 13 19,exhaustive
20,4,1,0,1,3,2 4 15 20,exhaustive
20,4,1,0,1,3,2 7 8 17,exhaustive
20,4,1,0,1,3,2 9 11 16,exhaustive
20,4,1,0,1,3,3 4 13 18,exhaustive
20,4,1,0,1,3,3 6 16 17,exhaustive
20,4,1,0,1,3,3 8 14 20,exhaustive
20,4,1,0,1,3,3 9 10 12,exhaustive
20,4,1,0,1,3,4 10 17 19,exhaustive
20,4,1,0,1,3,4 5 11 14,exhaustive
20,4,1,0,1,3,4 6 7 9,exhaustive
20,4,1,0,1,3,5 10 15 16,exhaustive
20,4,1,0,1,3,5 6 8 19,exhaustive
20,4,1,0,1,3,5 7 12 18,exhaustive
20,4,1,0,1,3,6 11 12 20,exhaustive
20,4,1,0,1,3,7 13 14 16,exhaustive
20,4,1,0,1,3,8 10 11 13,exhaustive
20,4,1,0,1,3,8 9 15 18,exhaustive
20,7,4,3,2,3,2 11 12 13 17 18 19,exhaustive
20,7,4,3,2,3,2 3 4 5 10 17 19,exhaustive
20,7,4,3,2,3,2 3 4 5 6 7 9,exhaustive
20,7,4,3,2,3,2 3 5 12 14 15 17,exhaustive
20,7,4,3,2,3,2 3 5 16 18 19 20,exhaustive
20,7,4,3,2,3,2 3 5 6 11 12 20,exhaustive
20,7,4,3,2,3,2 3 5 7 13 14 16,exhaustive
20,7,4,3,2,3,2 3 5 8 10 11 13,exhaustive
20,7,4,3,2,3,2 3 5 8 9 15 18,exhaustive
20,7,4,3,2,3,2 4 11 15 17 18 20,exhaustive
20,7,4,3,2,3,2 4 9 14 15 19 20,exhaustive
20,7,4,3,2,3,2 6 7 8 13 15 17,exhaustive
20,7,4,3,2,3,2 6 9 11 13 15 16,exhaustive
20,7,4,3,2,3,2 7 10 12 13 19 20,exhaustive
20,7,4,3,2,3,2 7 8 9 14 17 19,exhaustive
20,7,4,3,2,3,2 7 9 10 11 16 20,exhaustive
20,7,4,3,2,3,3 4 7 10 13 18 20,exhaustive
20,7,4,3,2,3,3 4 9 13 14 18 19,exhaustive
20,7,4,3,2,3,3 6 7 10 16 17 20,exhaustive
20,7,4,3,2,3,3 6 8 13 14 15 20,exhaustive
20,7,4,3,2,3,3 6 9 10 12 13 15,exhaustive
20,7,4,3,2,3,3 6 9 14 16 17 19,exhaustive
20,7,4,3,2,3,3 8 11 14 17 18 20,exhaustive
20,7,4,3,2,3,3 9 10 11 12 17 18,exhaustive
20,7,4,3,2,3,4 5 6 11 13 14 15,exhaustive
20,7,4,3,2,3,4 5 7 10 11 14 20,exhaustive
20,7,4,3,2,3,4 6 10 13 15 17 19,exhaustive
20,7,4,3,2,3,4 6 7 9 11 17 18,exhaustive
20,7,4,3,2,3,5 10 11 15 16 17 18,exhaustive
20,7,4,3,2,3,5 6 7 12 13 15 18,exhaustive
20,7,4,3,2,3,5 6 7 8 10 19 20,exhaustive
20,7,4,3,2,3,5 6 8 11 17 18 19,exhaustive
20,7,4,3,2,3,5 7 9 12 14 18 19,exhaustive
20,7,4,3,2,3,5 9 10 14 15 16 19,exhaustive
20,7,4,3,2,3,6 13 15 16 18 19 20,exhaustive
20,7,4,3,2,3,6 9 11 12 14 19 20,exhaustive
20,7,4,3,2,3,7 10 12 14 15 17 20,exhaustive
20,7,4,3,2,3,7 11 13 14 16 17 18,exhaustive
20,7,4,3,2,3,7 8 9 10 15 18 20,exhaustive
20,7,4,3,2,3,8 9 10 11 13 14 19,exhaustive
20,8,4,2,4,3,12 14 15 16 17 18 19 20,exhaustive
20,8,4,2,4,3,2 3 4 6 15 16 17 20,exhaustive
20,8,4,2,4,3,2 3 4 7 8 13 17 18,exhaustive
20,8,4,2,4,3,2 3 4 9 10 12 15 20,exhaustive
20,8,4,2,4,3,2 3 4 9 11 13 16 18,exhaustive
20,8,4,2,4,3,2 3 6 12 13 16 17 19,exhaustive
20,8,4,2,4,3,2 3 7 8 9 10 12 17,exhaustive
20,8,4,2,4,3,2 3 8 12 13 14 19 20,exhaustive
20,8,4,2,4,3,2 3 8 9 11 14 16 20,exhaustive
20,8,4,2,4,3,2 4 5 11 12 13 14 19,exhaustive
20,8,4,2,4,3,2 4 5 6 8 15 19 20,exhaustive
20,8,4,2,4,3,2 4 5 7 12 15 18 20,exhaustive
20,8,4,2,4,3,2 4 5 7 8 11 14 17,exhaustive
20,8,4,2,4,3,2 4 6 7 9 12 13 19,exhaustive
20,8,4,2,4,3,2 4 7 13 14 15 16 20,exhaustive
20,8,4,2,4,3,2 4 8 10 11 13 15 20,exhaustive
20,8,4,2,4,3,2 4 9 10 11 16 17 19,exhaustive
20,8,4,2,4,3,2 5 10 12 13 15 16 19,exhaustive
20,8,4,2,4,3,2 5 6 8 9 11 16 19,exhaustive
20,8,4,2,4,3,2 5 7 8 10 15 16 17,exhaustive
20,8,4,2,4,3,2 5 7 9 11 12 16 18,exhaustive
20,8,4,2,4,3,2 6 7 8 11 12 17 20,exhaustive
20,8,4,2,4,3,2 7 8 16 17 18 19 20,exhaustive
20,8,4,2,4,3,2 8 9 12 13 15 18 19,exhaustive
20,8,4,2,4,3,2 9 11 12 14 15 16 17,exhaustive
20,8,4,2,4,3,3 4 12 13 14 15 17 18,exhaustive
