group_id,param_id,graph_id,members,source_method
263,463,1798,4 6 15 18 27 31 33 42 49 53,inverse
263,463,29,6 12 15 18 21 26 28 33 39 45,ilp
263,464,1800,15 17 20 22 25 27 34 39 45 48 51,inverse
263,464,31,6 16 20 22 23 25 26 29 34 42 53,ilp
263,469,34,3 15 16 18 19 21 24 32 33 37 40 42 44 47 49 54,ilp
263,469,1803,6 9 10 11 13 18 19 21 33 35 43 44 45 49 51 54,inverse
263,471,36,11 15 17 18 19 20 26 27 30 31 37 38 39 41 42 47 48,ilp
263,471,1805,6 10 11 18 19 20 23 26 27 28 29 36 37 45 50 52 53,inverse
264,464,1801,3 7 9 12 16 23 28 35 46 52 54,inverse
264,464,32,3 7 9 13 21 31 39 41 44 46 51,ilp
264,471,1806,8 10 11 12 17 21 22 23 27 30 31 33 34 41 42 43 53,inverse
264,471,37,8 10 13 21 23 25 28 29 32 33 34 37 40 45 50 52 53,ilp
266,463,30,3 6 19 29 31 40 42 43 49 53,ilp
266,463,1799,6 9 13 16 21 29 34 39 42 43,inverse
266,464,33,6 10 11 20 28 33 36 40 41 45 47,ilp
266,464,1802,6 8 10 13 37 38 45 46 47 50 51,inverse
266,469,1804,3 10 15 17 27 28 32 38 39 40 45 49 50 51 52 54,inverse
266,469,35,9 13 15 17 21 26 28 30 32 36 41 45 47 51 53 54,ilp
266,471,36,11 12 15 17 18 20 23 27 30 34 35 37 39 41 45 48 51,ilp
266,471,1805,4 8 11 15 18 19 23 24 26 28 32 37 45 48 50 52 53,inverse
