n,k,t,lambda,mu,lib_id,members,source_method
40,16,8,4,8,1,5 8 10 11 14 15 17 20 21 26 27 32 33 37 38 40,ilp
40,16,8,4,8,1,8 12 14 15 18 19 21 25 28 32 34 35 37 38 39 40,inverse
40,19,11,10,8,1,3 4 5 9 10 11 12 17 18 19 24 25 30 31 32 36 37 38 40,ilp
40,19,11,10,8,1,3 4 9 20 24 26 27 28 30 31 32 33 34 35 36 37 38 39 40,inverse
40,8,2,0,2,3,10 17 22 24 28 29 31 35,exhaustive
40,8,2,0,2,3,12 14 19 21 26 32 33 38,exhaustive
40,8,2,0,2,3,12 16 18 19 22 23 25 29,exhaustive
40,8,2,0,2,3,2 5 7 11 26 33 37 40,exhaustive
40,8,2,0,2,3,2 7 10 12 17 19 30 36,exhaustive
40,8,2,0,2,3,2 7 14 18 21 25 28 35,exhaustive
40,8,2,0,2,3,2 7 20 22 27 29 34 39,exhaustive
40,8,2,0,2,3,20 24 26 27 30 31 33 36,exhaustive
40,8,2,0,2,3,28 32 34 35 37 38 39 40,exhaustive
40,8,2,0,2,3,3 5 9 11 22 29 32 38,exhaustive
40,8,2,0,2,3,3 8 9 15 28 30 35 36,exhaustive
40,8,2,0,2,3,3 9 12 19 24 31 37 40,exhaustive
40,8,2,0,2,3,3 9 14 16 20 21 23 27,exhaustive
40,8,2,0,2,3,5 11 16 23 30 34 36 39,exhaustive
40,8,2,0,2,3,5 6 11 13 18 24 25 31,exhaustive
40,8,2,0,2,3,5 8 10 11 14 15 17 21,exhaustive
40,8,2,0,2,3,6 10 13 17 20 27 32 38,exhaustive
40,8,2,0,2,3,6 13 16 23 26 28 33 35,exhaustive
40,8,2,0,2,3,6 8 12 13 15 19 34 39,exhaustive
40,8,2,0,2,3,8 15 18 20 25 27 37 40,exhaustive
40,9,3,2,2,3,2 4 5 7 11 26 33 37 40,exhaustive
40,9,3,2,2,3,2 4 7 10 12 17 19 30 36,exhaustive
40,9,3,2,2,3,2 4 7 14 18 21 25 28 35,exhaustive
40,9,3,2,2,3,2 4 7 20 22 27 29 34 39,exhaustive
40,9,3,2,2,3,3 4 5 9 11 22 29 32 38,exhaustive
40,9,3,2,2,3,3 4 8 9 15 28 30 35 36,exhaustive
40,9,3,2,2,3,3 4 9 12 19 24 31 37 40,exhaustive
40,9,3,2,2,3,3 4 9 14 16 20 21 23 27,exhaustive
40,9,3,2,2,3,4 10 17 22 24 28 29 31 35,exhaustive
40,9,3,2,2,3,4 12 14 19 21 26 32 33 38,exhaustive
40,9,3,2,2,3,4 12 16 18 19 22 23 25 29,exhaustive
40,9,3,2,2,3,4 20 24 26 27 30 31 33 36,exhaustive
40,9,3,2,2,3,4 28 32 34 35 37 38 39 40,exhaustive
40,9,3,2,2,3,4 5 11 16 23 30 34 36 39,exhaustive
40,9,3,2,2,3,4 5 6 11 13 18 24 25 31,exhaustive
40,9,3,2,2,3,4 5 8 10 11 14 15 17 21,exhaustive
40,9,3,2,2,3,4 6 10 13 17 20 27 32 38,exhaustive
40,9,3,2,2,3,4 6 13 16 23 26 28 33 35,exhaustive
40,9,3,2,2,3,4 6 8 12 13 15 19 34 39,exhaustive
40,9,3,2,2,3,4 8 15 18 20 25 27 37 40,exhaustive
40,15,9,8,4,3,2 3 4 5 6 7 8 9 10 11 13 14 15 17 21,exhaustive
40,15,9,8,4,3,2 3 4 5 6 7 9 11 13 16 23 30 34 36 39,exhaustive
40,15,9,8,4,3,2 3 4 6 7 8 9 13 15 18 20 25 27 37 40,exhaustive
40,15,9,8,4,3,2 3 4 6 7 9 10 13 17 22 24 28 29 31 35,exhaustive
40,15,9,8,4,3,2 3 4 6 7 9 12 13 14 19 21 26 32 33 38,exhaustive
40,15,9,8,4,3,2 3 4 6 7 9 12 13 16 18 19 22 23 25 29,exhaustive
40,15,9,8,4,3,2 3 4 6 7 9 13 20 24 26 27 30 31 33 36,exhaustive
40,15,9,8,4,3,2 3 4 6 7 9 13 28 32 34 35 37 38 39 40,exhaustive
40,15,9,8,4,3,2 4 5 7 11 14 21 24 26 31 33 34 37 39 40,exhaustive
40,15,9,8,4,3,2 4 5 7 11 18 25 26 30 32 33 36 37 38 40,exhaustive
40,15,9,8,4,3,2 4 7 10 12 14 17 19 21 24 30 31 34 36 39,exhaustive
40,15,9,8,4,3,2 4 7 10 14 16 17 18 21 23 25 28 35 37 40,exhaustive
40,15,9,8,4,3,2 4 7 10 16 17 20 22 23 27 29 34 37 39 40,exhaustive
40,15,9,8,4,3,2 4 7 18 20 22 25 27 29 30 32 34 36 38 39,exhaustive
40,15,9,8,4,3,2 4 7 8 10 12 15 17 19 22 26 29 30 33 36,exhaustive
40,15,9,8,4,3,2 4 7 8 14 15 18 21 22 25 26 28 29 33 35,exhaustive
40,15,9,8,4,3,3 4 5 9 10 11 16 17 22 23 29 32 37 38 40,exhaustive
40,15,9,8,4,3,3 4 5 9 11 14 21 22 24 29 31 32 34 38 39,exhaustive
40,15,9,8,4,3,3 4 8 9 10 15 16 17 23 28 30 35 36 37 40,exhaustive
40,15,9,8,4,3,3 4 8 9 12 15 19 22 24 26 29 31 33 37 40,exhaustive
40,15,9,8,4,3,3 4 8 9 14 15 16 20 21 22 23 26 27 29 33,exhaustive
40,15,9,8,4,3,3 4 8 9 14 15 21 24 28 30 31 34 35 36 39,exhaustive
40,15,9,8,4,3,3 4 9 12 18 19 24 25 30 31 32 36 37 38 40,exhaustive
40,15,9,8,4,3,3 4 9 14 16 18 20 21 23 25 27 30 32 36 38,exhaustive
40,15,9,8,4,3,4 10 12 14 16 17 19 21 23 26 32 33 37 38 40,exhaustive
40,15,9,8,4,3,4 10 16 17 20 23 24 26 27 30 31 33 36 37 40,exhaustive
40,15,9,8,4,3,4 10 17 18 22 24 25 28 29 30 31 32 35 36 38,exhaustive
40,15,9,8,4,3,4 12 14 16 18 19 21 22 23 24 25 29 31 34 39,exhaustive
40,15,9,8,4,3,4 5 6 10 11 13 16 17 18 23 24 25 31 37 40,exhaustive
40,15,9,8,4,3,4 5 6 8 11 13 15 18 22 24 25 26 29 31 33,exhaustive
40,15,9,8,4,3,4 5 8 10 11 14 15 17 18 21 25 30 32 36 38,exhaustive
40,15,9,8,4,3,4 5 8 11 15 16 22 23 26 29 30 33 34 36 39,exhaustive
40,15,9,8,4,3,4 6 10 13 14 17 20 21 24 27 31 32 34 38 39,exhaustive
40,15,9,8,4,3,4 6 13 14 16 21 23 24 26 28 31 33 34 35 39,exhaustive
40,15,9,8,4,3,4 6 13 16 18 23 25 26 28 30 32 33 35 36 38,exhaustive
40,15,9,8,4,3,4 6 8 10 12 13 15 16 17 19 23 34 37 39 40,exhaustive
40,15,9,8,4,3,4 6 8 10 13 15 17 20 22 26 27 29 32 33 38,exhaustive
40,15,9,8,4,3,4 6 8 12 13 15 18 19 25 30 32 34 36 38 39,exhaustive
40,15,9,8,4,3,4 8 14 15 18 20 21 24 25 27 31 34 37 39 40,exhaustive
40,15,9,8,4,3,4 8 15 22 26 28 29 32 33 34 35 37 38 39 40,exhaustive
40,16,8,4,8,3,20 24 26 27 28 30 31 32 33 34 35 36 37 38 39 40,ilp
40,16,8,4,8,3,5 11 12 14 16 19 21 23 26 30 32 33 34 36 38 39,inverse
40,19,11,10,8,3,3 4 5 9 11 14 18 20 21 22 24 25 27 29 31 32 34 38 39,ilp
40,19,11,10,8,3,3 4 8 9 12 14 15 18 19 21 24 25 28 30 31 34 35 36 39,inverse
40,16,8,4,8,4,12 16 18 19 22 23 25 28 29 32 34 35 37 38 39 40,inverse
40,16,8,4,8,4,5 10 11 16 17 20 22 23 26 27 29 32 33 37 38 40,ilp
40,19,11,10,8,4,2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 21 25,ilp
40,19,11,10,8,4,2 3 4 6 7 8 9 13 14 15 20 21 26 27 28 33 34 35 39,inverse
40,16,8,4,8,5,20 24 26 27 28 30 31 32 33 34 35 36 37 38 39 40,inverse
40,16,8,4,8,5,5 10 11 12 17 18 19 24 25 30 31 32 36 37 38 40,ilp
40,19,11,10,8,5,3 4 5 9 10 11 16 17 20 22 23 26 27 29 32 33 37 38 40,inverse
40,19,11,10,8,5,3 4 9 12 16 18 19 22 23 25 28 29 32 34 35 37 38 39 40,ilp
40,16,8,4,8,6,20 24 26 27 28 30 31 32 33 34 35 36 37 38 39 40,ilp
40,16,8,4,8,6,5 10 11 12 17 18 19 24 25 30 31 32 36 37 38 40,inverse
40,19,10,9,9,6,3 5 7 10 13 14 15 16 19 20 24 25 29 30 33 34 35 38 40,ilp
