n,k,t,lambda,mu,lib_id,members,source_method
64,22,18,10,6,3,5 7 9 11 13 17 21 22 24 27 29 30 32 33 35 44 45 50 52 54 57 61,inverse
64,22,18,10,6,3,5 7 9 11 17 21 22 24 27 29 30 32 34 44 45 50 52 53 55 57 61 63,rrhc
64,22,18,10,6,4,6 7 8 9 10 12 14 17 19 26 28 30 32 36 40 41 43 50 54 59 62 63,inverse
64,22,18,10,6,4,6 7 8 9 10 12 17 19 26 28 30 32 33 37 40 41 43 50 53 56 59 62,rrhc
64,29,17,12,14,4,3 5 8 9 10 11 12 14 15 17 18 21 23 24 26 29 38 46 47 49 50 53 55 56 57 60 62 63 64,rrhc
64,29,17,12,14,4,3 5 9 10 12 14 15 18 21 24 25 28 29 33 38 39 40 43 44 45 49 52 54 55 56 59 60 61 62,inverse
64,22,18,10,6,5,6 7 9 10 12 14 19 25 28 30 32 36 39 41 43 48 50 54 57 59 62 63,rrhc
64,22,18,10,6,5,6 7 9 10 12 19 25 28 30 32 33 37 39 41 43 48 50 53 56 57 59 62,inverse
64,29,17,12,14,5,2 4 6 12 13 15 17 20 25 28 30 35 36 38 40 41 42 43 44 46 48 49 51 52 56 59 60 61 62,rrhc
64,29,17,12,14,5,3 4 6 9 10 11 16 17 20 25 27 29 31 32 34 36 40 41 42 43 44 46 48 50 55 56 59 60 61,inverse
64,22,18,10,6,6,6 9 10 12 14 17 19 22 24 28 30 32 36 41 44 45 50 54 57 61 62 63,inverse
64,22,18,10,6,6,6 9 10 12 17 19 22 24 28 30 32 33 37 41 44 45 50 53 56 57 61 62,rrhc
64,29,17,12,14,6,4 6 9 11 12 13 15 16 17 23 25 26 27 30 33 36 37 41 43 46 50 51 52 54 55 57 59 60 61,inverse
64,29,17,12,14,6,6 8 9 10 11 13 14 15 16 17 18 19 26 29 32 33 43 44 46 47 49 50 52 54 55 56 57 60 64,rrhc
64,22,18,10,6,7,2 5 7 10 12 13 17 21 22 25 26 28 31 33 35 49 51 54 57 58 59 62,inverse
64,22,18,10,6,7,2 5 7 10 12 17 21 22 25 26 28 31 34 49 51 53 55 57 58 59 62 63,rrhc
64,29,17,12,14,7,2 3 6 10 18 19 20 23 28 29 30 31 32 33 36 37 38 39 40 42 43 44 45 46 47 52 60 63 64,inverse
64,29,17,12,14,7,2 4 6 8 11 12 15 16 20 24 27 30 31 32 33 36 37 39 40 41 42 44 45 46 47 48 61 62 63,rrhc
64,22,18,10,6,8,7 14 15 16 17 20 21 22 25 27 28 29 33 34 35 40 48 56 58 62 63 64,inverse
64,22,18,10,6,8,7 9 14 15 16 17 20 21 22 25 33 34 35 40 48 49 50 51 56 58 63 64,rrhc
64,29,17,12,14,8,3 4 7 8 12 13 14 15 18 25 27 29 30 31 32 33 34 39 40 43 45 46 47 51 56 60 62 63 64,inverse
64,29,17,12,14,8,3 7 8 9 11 12 13 14 15 17 19 24 27 31 33 34 41 43 44 45 46 48 49 51 52 56 57 58 63,rrhc
64,22,18,10,6,9,3 5 7 11 12 14 22 25 28 29 30 31 38 39 42 43 48 49 50 56 57 59,rrhc
64,22,18,10,6,9,5 7 11 12 15 16 22 25 28 29 30 31 36 37 39 42 43 48 49 50 57 59,inverse
64,29,17,12,14,9,3 6 9 14 16 18 19 21 22 24 25 26 27 32 35 36 38 39 40 43 46 47 48 51 52 53 56 60 62,rrhc
64,29,17,12,14,9,4 6 9 15 16 17 21 22 23 25 27 32 36 37 38 41 43 45 46 51 52 55 56 57 59 60 62 63 64,inverse
64,29,17,12,14,10,2 4 8 10 12 13 16 19 21 22 26 28 31 33 34 37 38 42 43 44 46 49 51 53 56 59 60 61 62,inverse
64,29,17,12,14,10,4 11 13 14 16 19 21 22 25 28 30 32 34 36 38 42 44 46 48 49 51 52 54 58 60 61 62 63 64,rrhc
64,29,17,12,14,11,2 3 4 6 8 12 13 14 19 24 26 27 28 30 38 39 40 44 47 50 51 52 53 54 55 56 58 60 64,rrhc
64,29,17,12,14,11,2 4 6 9 12 14 15 16 19 24 25 29 30 34 35 39 40 43 44 47 48 49 52 53 54 56 59 60 62,inverse
64,22,18,10,6,12,2 6 14 17 20 21 22 23 24 25 26 30 31 32 35 36 39 55 58 59 60 61,rrhc
64,22,18,10,6,12,6 10 11 12 14 17 20 21 22 23 24 25 26 35 36 39 52 55 58 59 60 61,inverse
64,29,17,12,14,12,2 3 5 7 8 9 10 15 18 19 20 24 25 30 32 33 35 36 37 45 50 51 55 58 59 60 61 62 63,rrhc
64,29,17,12,14,12,3 4 7 10 12 15 21 23 25 26 27 29 32 33 35 36 37 41 42 47 51 52 55 59 60 61 62 63 64,inverse
64,22,18,10,6,13,2 3 5 6 9 10 14 22 23 24 27 32 38 40 42 44 46 51 52 56 57 62,inverse
64,22,18,10,6,13,2 5 6 9 10 15 16 22 23 24 27 32 36 37 40 42 44 46 51 52 57 62,rrhc
64,22,18,10,6,14,5 6 13 17 22 24 26 28 29 34 37 39 42 45 46 48 49 50 56 59 60 64,rrhc
64,22,18,10,6,14,5 6 14 17 22 24 26 28 29 35 36 39 42 45 46 48 49 50 55 59 60 64,inverse
64,22,18,10,6,15,6 7 14 19 20 24 25 27 28 36 41 42 43 44 47 48 50 51 54 59 60 63,inverse
64,22,18,10,6,15,6 7 9 14 19 20 24 25 29 36 41 42 43 44 47 48 49 54 59 60 62 63,rrhc
64,22,18,10,6,16,3 5 6 7 11 15 19 21 23 24 26 30 32 35 41 44 46 48 52 55 59 64,rrhc
64,22,18,10,6,16,5 6 7 11 13 16 19 21 23 24 26 30 32 34 38 41 44 46 48 52 59 64,inverse
64,22,18,10,6,17,3 5 7 9 18 19 21 22 23 24 25 26 27 29 34 35 38 50 58 59 60 61,inverse
64,22,18,10,6,17,5 7 9 13 15 16 18 19 21 22 23 24 25 26 27 29 50 55 58 59 60 61,rrhc
64,29,17,12,14,18,3 12 17 18 21 22 24 25 26 29 31 33 34 35 36 37 38 39 40 42 43 44 45 50 51 61 62 63 64,inverse
64,29,17,12,14,18,8 9 12 15 16 17 21 22 23 24 25 27 31 34 35 36 37 40 41 42 43 44 46 51 53 54 57 58 62,rrhc
64,29,17,12,14,19,2 6 8 9 11 15 16 20 22 27 30 31 33 35 37 40 41 45 47 48 49 51 55 56 58 59 60 61 63,inverse
64,29,17,12,14,19,2 6 9 14 15 16 20 22 23 26 27 28 31 32 35 36 40 41 46 47 48 52 53 54 55 59 60 62 64,rrhc
64,29,17,12,14,20,3 4 5 6 8 11 14 16 24 26 27 28 29 34 37 39 40 42 44 47 52 53 55 57 58 60 62 63 64,rrhc
64,29,17,12,14,20,5 6 8 9 11 13 15 17 19 24 26 28 33 35 36 38 39 42 44 47 50 52 54 56 57 58 60 62 64,inverse
64,22,18,10,6,21,3 5 6 7 9 11 12 15 16 22 23 25 27 28 30 31 38 41 43 46 49 57,rrhc
64,22,18,10,6,21,3 5 6 7 9 11 12 15 16 22 27 28 30 31 38 41 45 48 49 57 59 61,inverse
64,29,17,12,14,21,2 4 9 10 13 17 21 22 23 27 28 33 34 35 39 42 43 44 45 49 53 54 55 57 58 59 60 63 64,rrhc
64,29,17,12,14,21,2 6 8 9 10 13 19 20 21 24 25 26 27 28 33 34 35 39 40 46 47 48 49 53 54 55 57 61 63,inverse
64,29,17,12,14,23,2 3 7 8 10 14 17 19 20 21 23 24 25 27 28 29 30 32 34 35 38 41 44 49 56 57 58 59 61,rrhc
64,29,17,12,14,23,2 7 8 10 11 13 14 15 16 17 19 20 21 23 27 29 41 43 47 48 51 52 55 56 57 58 60 61 62,inverse
64,29,17,12,14,24,5 7 10 11 12 13 16 18 19 20 25 26 27 28 29 33 34 38 40 44 45 46 47 52 53 57 58 59 62,inverse
64,29,17,12,14,24,7 9 10 11 12 13 16 17 18 19 21 23 24 25 26 33 34 38 39 42 49 50 51 52 53 58 59 60 61,rrhc
64,29,17,12,14,25,7 12 13 14 15 16 19 23 24 25 26 29 30 31 32 34 40 41 44 50 51 54 56 57 59 61 62 63 64,inverse
64,29,17,12,14,25,7 8 9 12 15 16 18 19 24 25 27 30 31 32 35 36 37 39 40 44 45 46 51 54 55 58 59 62 63,rrhc
64,29,17,12,14,28,2 4 8 9 10 12 16 17 18 20 21 23 24 26 27 29 31 35 37 39 42 43 45 47 50 54 55 59 63,inverse
64,29,17,12,14,28,8 11 16 19 20 21 23 24 26 28 30 32 35 37 40 41 42 43 45 47 49 51 52 54 55 57 59 62 63,rrhc
64,29,17,12,14,30,2 4 11 13 14 17 20 21 23 27 29 32 34 35 36 37 38 43 44 45 47 48 49 50 56 57 58 61 62,rrhc
64,29,17,12,14,30,4 9 10 13 14 15 17 20 21 24 26 28 29 31 35 36 37 43 45 46 48 51 52 55 56 57 60 61 62,inverse
64,17,8,3,5,32,4 6 7 12 15 17 26 29 31 35 37 42 45 46 50 53 58,rrhc
64,17,8,3,5,32,4 6 7 12 15 23 28 31 35 40 42 48 54 56 59 61 62,inverse
64,29,17,12,14,32,2 4 5 6 8 12 21 24 26 27 28 30 33 34 36 39 40 41 44 47 50 51 52 55 56 58 60 63 64,inverse
64,29,17,12,14,32,4 5 6 10 11 14 17 21 24 25 27 28 31 32 33 34 37 41 43 44 47 48 50 51 55 57 59 60 63,rrhc
64,17,8,3,5,33,3 5 6 11 18 22 24 29 35 39 43 44 48 50 52 56 63,inverse
64,17,8,3,5,33,5 6 11 13 14 16 18 22 24 26 28 44 52 54 57 62 64,rrhc
64,29,17,12,14,33,3 7 8 12 13 18 20 22 28 31 34 36 37 38 39 41 43 45 46 47 48 49 51 54 57 58 60 62 63,inverse
64,29,17,12,14,33,7 9 12 15 16 18 20 22 25 26 27 29 31 35 36 37 39 41 45 46 47 50 54 55 57 59 60 63 64,rrhc
64,17,8,3,5,34,2 10 13 19 20 25 26 32 34 35 38 40 46 47 52 54 56,inverse
64,17,8,3,5,34,2 4 10 11 13 14 20 30 34 35 38 40 45 59 60 63 64,rrhc
64,29,17,12,14,34,4 6 8 9 15 16 20 24 25 26 27 28 29 33 34 35 39 40 41 42 46 47 48 49 50 51 61 62 63,rrhc
64,29,17,12,14,34,6 9 15 16 18 19 20 23 27 28 29 34 35 39 40 42 43 44 45 49 50 51 53 54 58 59 60 62 64,inverse
64,17,8,3,5,35,4 7 11 13 22 26 37 38 40 42 45 49 51 52 53 61 64,inverse
64,17,8,3,5,35,7 11 15 19 22 29 35 40 42 43 45 48 50 52 54 56 61,rrhc
64,29,17,12,14,35,2 5 6 8 9 14 15 23 24 30 31 32 34 35 37 38 39 42 43 48 49 50 51 53 54 57 60 61 64,inverse
64,29,17,12,14,35,5 6 10 12 13 15 24 26 29 30 32 36 38 39 42 45 46 48 50 51 53 54 55 56 57 59 60 62 64,rrhc
64,17,8,3,5,36,2 5 6 7 13 14 18 24 28 38 40 43 48 50 52 60 63,rrhc
64,17,8,3,5,36,6 7 13 17 21 24 26 28 31 32 33 36 38 41 50 60 64,inverse
64,29,17,12,14,36,2 5 7 14 15 16 17 24 25 26 27 28 29 30 31 32 33 34 35 36 42 44 45 57 58 59 61 62 63,inverse
64,29,17,12,14,36,2 7 8 11 14 15 16 20 21 25 29 31 33 34 35 36 39 40 43 45 47 50 51 52 58 60 61 62 63,rrhc
64,29,17,12,14,38,2 4 5 6 10 11 12 13 14 16 22 23 30 31 32 36 38 39 40 41 43 44 45 52 54 58 59 60 64,inverse
64,29,17,12,14,38,2 5 6 8 10 11 12 13 14 16 17 18 19 22 24 25 26 30 31 32 36 38 46 47 48 52 54 57 61,rrhc
64,29,17,12,14,39,4 6 8 13 15 17 19 21 22 24 26 28 32 33 35 36 38 40 44 47 49 51 52 54 56 58 60 62 64,rrhc
64,29,17,12,14,39,6 13 15 18 21 22 23 25 28 32 33 35 36 38 39 41 43 45 46 48 49 51 52 54 56 57 59 61 62,inverse
64,29,17,12,14,41,6 12 14 15 16 18 19 21 22 24 25 26 28 29 31 33 34 35 39 40 43 44 45 49 50 56 61 63 64,inverse
64,29,17,12,14,41,6 8 9 12 15 16 18 19 21 22 24 25 27 31 34 35 36 37 39 40 45 46 51 53 54 59 60 62 64,rrhc
64,29,17,12,14,46,3 4 14 15 16 17 20 21 23 26 29 32 34 36 37 41 42 43 44 47 50 51 52 53 57 58 60 62 64,inverse
64,29,17,12,14,46,4 9 14 16 17 20 21 23 27 28 32 33 34 35 41 42 43 45 46 48 49 52 53 55 57 58 59 60 63,rrhc
64,29,17,12,14,47,3 11 12 14 15 18 20 21 23 26 28 30 31 32 35 36 38 39 41 42 43 45 47 49 52 54 56 57 59,rrhc
64,29,17,12,14,47,4 11 12 13 16 17 19 20 21 23 26 28 30 31 32 33 34 37 40 42 43 45 47 49 52 53 55 59 63,inverse
64,29,17,12,14,48,3 6 8 14 16 18 21 22 24 26 28 32 34 37 39 41 44 47 49 51 52 53 55 57 58 60 62 63 64,inverse
64,29,17,12,14,48,4 6 8 13 15 17 19 21 22 24 26 28 32 33 35 36 38 40 44 47 49 51 52 54 56 58 60 62 64,rrhc
64,29,17,12,14,60,2 4 5 6 9 14 15 16 17 21 23 25 26 30 31 32 33 41 44 45 46 47 51 53 54 56 57 60 63,rrhc
64,29,17,12,14,60,4 5 6 8 9 10 11 12 14 15 16 17 21 24 33 41 43 48 51 52 53 54 56 57 58 59 61 63 64,inverse
64,29,17,12,14,61,3 4 5 10 15 16 17 19 20 22 23 28 30 31 34 38 40 43 45 46 49 51 52 53 55 59 61 62 63,rrhc
64,29,17,12,14,61,4 5 9 10 14 17 19 20 22 27 29 30 31 34 36 37 40 44 46 50 52 53 55 56 58 60 61 63 64,inverse
64,29,17,12,14,62,2 3 5 6 10 15 16 17 18 19 21 23 24 25 26 27 32 34 35 38 49 50 52 53 54 57 60 61 62,inverse
64,29,17,12,14,62,3 4 5 6 9 11 12 15 16 21 23 24 25 26 28 29 30 31 34 35 38 39 40 41 51 53 54 60 61,rrhc
