group_id,param_id,graph_id,members,source_method
38,29,1361,2 3 6 8 12 14,exhaustive
38,29,1361,2 6 7 12 13 17,exhaustive
38,29,1361,3 5 8 11 14 16,exhaustive
38,29,1361,3 8 10 14 15 18,exhaustive
38,29,1361,5 7 11 13 16 17,exhaustive
38,29,1361,7 10 13 15 17 18,exhaustive
38,31,1364,2 3 4 10 11 12 13 14,exhaustive
38,31,1364,2 3 4 10 11 13 14 16,exhaustive
38,31,1364,2 3 4 10 13 14 15 16,exhaustive
38,31,1367,2 3 4 5 6 7 13 18,exhaustive
38,31,1364,2 3 4 5 6 7 8 10,exhaustive
38,31,1365,2 3 4 5 6 8 12 14,exhaustive
38,31,1367,2 3 4 5 7 10 11 13,exhaustive
38,31,1368,2 3 4 5 7 10 13 16,exhaustive
38,31,1368,2 3 4 5 7 12 13 18,exhaustive
38,31,1364,2 3 4 5 7 8 10 18,exhaustive
38,31,1364,2 3 4 5 7 8 16 18,exhaustive
38,31,1366,2 3 4 5 8 11 14 16,exhaustive
38,31,1364,2 3 4 6 13 14 15 16,exhaustive
38,31,1368,2 3 4 6 7 10 11 13,exhaustive
38,31,1366,2 3 4 6 8 10 12 14,exhaustive
38,31,1365,2 3 4 6 8 11 12 14,exhaustive
38,31,1366,2 3 4 6 8 12 14 15,exhaustive
38,31,1365,2 3 4 6 8 12 14 16,exhaustive
38,31,1366,2 3 4 6 8 12 14 18,exhaustive
38,31,1367,2 3 4 7 10 13 16 18,exhaustive
38,31,1367,2 3 4 7 12 13 15 16,exhaustive
38,31,1368,2 3 4 7 13 15 16 18,exhaustive
38,31,1364,2 3 4 7 8 12 16 18,exhaustive
38,31,1365,2 3 4 8 10 14 15 18,exhaustive
38,31,1367,2 3 5 6 7 8 9 15,exhaustive
38,31,1365,2 3 5 6 8 9 12 14,exhaustive
38,31,1368,2 3 5 7 8 9 15 16,exhaustive
38,31,1364,2 3 5 7 9 11 13 15,exhaustive
38,31,1364,2 3 5 7 9 12 13 15,exhaustive
38,31,1366,2 3 5 8 9 11 14 16,exhaustive
38,31,1368,2 3 5 9 10 12 13 14,exhaustive
38,31,1367,2 3 5 9 10 13 14 15,exhaustive
38,31,1367,2 3 5 9 11 13 14 18,exhaustive
38,31,1368,2 3 5 9 13 14 15 18,exhaustive
38,31,1368,2 3 6 7 8 9 10 16,exhaustive
38,31,1364,2 3 6 7 9 11 13 18,exhaustive
38,31,1366,2 3 6 8 9 10 12 14,exhaustive
38,31,1365,2 3 6 8 9 11 12 14,exhaustive
38,31,1366,2 3 6 8 9 12 14 15,exhaustive
38,31,1365,2 3 6 8 9 12 14 16,exhaustive
38,31,1366,2 3 6 8 9 12 14 18,exhaustive
38,31,1368,2 3 6 9 11 13 14 15,exhaustive
38,31,1367,2 3 6 9 13 14 16 18,exhaustive
38,31,1368,2 3 7 8 9 10 11 15,exhaustive
38,31,1367,2 3 7 8 9 10 11 18,exhaustive
38,31,1367,2 3 7 8 9 10 12 16,exhaustive
38,31,1368,2 3 7 8 9 11 12 18,exhaustive
38,31,1367,2 3 7 8 9 11 15 16,exhaustive
38,31,1364,2 3 7 9 11 13 15 18,exhaustive
38,31,1365,2 3 8 9 10 14 15 18,exhaustive
38,31,1367,2 3 9 11 12 13 14 15,exhaustive
38,31,1368,2 3 9 11 13 14 16 18,exhaustive
38,31,1367,2 4 10 11 13 14 15 17,exhaustive
38,31,1368,2 4 10 11 13 14 17 18,exhaustive
38,31,1368,2 4 10 12 13 14 16 17,exhaustive
38,31,1367,2 4 11 12 13 14 17 18,exhaustive
38,31,1368,2 4 11 13 14 15 16 17,exhaustive
38,31,1367,2 4 5 13 14 15 16 17,exhaustive
38,31,1368,2 4 5 6 13 14 15 17,exhaustive
38,31,1366,2 4 5 6 7 12 13 17,exhaustive
38,31,1365,2 4 5 7 11 13 16 17,exhaustive
38,31,1367,2 4 5 7 8 10 12 17,exhaustive
38,31,1368,2 4 5 7 8 10 15 17,exhaustive
38,31,1368,2 4 5 7 8 11 17 18,exhaustive
38,31,1367,2 4 5 7 8 15 17 18,exhaustive
38,31,1364,2 4 5 8 11 14 15 17,exhaustive
38,31,1364,2 4 5 8 12 14 15 17,exhaustive
38,31,1367,2 4 6 10 13 14 16 17,exhaustive
38,31,1365,2 4 6 7 10 12 13 17,exhaustive
38,31,1366,2 4 6 7 11 12 13 17,exhaustive
38,31,1365,2 4 6 7 12 13 15 17,exhaustive
38,31,1366,2 4 6 7 12 13 16 17,exhaustive
38,31,1365,2 4 6 7 12 13 17 18,exhaustive
38,31,1367,2 4 6 7 8 11 15 17,exhaustive
38,31,1368,2 4 6 7 8 16 17 18,exhaustive
38,31,1364,2 4 6 8 11 14 17 18,exhaustive
38,31,1366,2 4 7 10 13 15 17 18,exhaustive
38,31,1368,2 4 7 8 11 12 15 17,exhaustive
38,31,1367,2 4 7 8 11 16 17 18,exhaustive
38,31,1364,2 4 8 11 14 15 17 18,exhaustive
38,31,1366,2 5 6 7 9 12 13 17,exhaustive
38,31,1368,2 5 6 8 9 14 17 18,exhaustive
38,31,1364,2 5 6 9 10 13 14 17,exhaustive
38,31,1365,2 5 7 9 11 13 16 17,exhaustive
38,31,1368,2 5 8 9 10 11 14 17,exhaustive
38,31,1367,2 5 8 9 10 14 16 17,exhaustive
38,31,1367,2 5 8 9 12 14 17 18,exhaustive
38,31,1364,2 5 9 10 13 14 17 18,exhaustive
38,31,1364,2 5 9 13 14 16 17 18,exhaustive
38,31,1364,2 6 7 8 9 15 16 17,exhaustive
38,31,1365,2 6 7 9 10 12 13 17,exhaustive
38,31,1366,2 6 7 9 11 12 13 17,exhaustive
38,31,1365,2 6 7 9 12 13 15 17,exhaustive
38,31,1366,2 6 7 9 12 13 16 17,exhaustive
38,31,1365,2 6 7 9 12 13 17 18,exhaustive
38,31,1367,2 6 8 9 10 11 14 17,exhaustive
38,31,1364,2 7 8 9 10 11 12 17,exhaustive
38,31,1364,2 7 8 9 10 11 16 17,exhaustive
38,31,1364,2 7 8 9 10 15 16 17,exhaustive
38,31,1366,2 7 9 10 13 15 17 18,exhaustive
38,31,1368,2 8 9 10 14 16 17 18,exhaustive
38,31,1368,2 8 9 12 14 15 16 17,exhaustive
38,31,1367,2 8 9 14 15 16 17 18,exhaustive
38,31,1364,2 9 12 13 14 16 17 18,exhaustive
38,31,1364,3 4 10 11 12 13 14 18,exhaustive
38,31,1364,3 4 5 11 12 13 14 18,exhaustive
38,31,1364,3 4 5 6 12 13 14 18,exhaustive
