group_id,param_id,graph_id,members,source_method
618,894,48,3 10 11 18 21 22 23 24 31 33 34 37 38 48 49 50 52 55 59 61 62 69,rrhc
618,894,48,3 6 10 11 13 15 21 22 23 24 28 37 38 51 53 55 59 61 62 66 69 71,inverse
618,905,64,2 4 13 15 16 17 23 24 29 32 34 39 42 45 47 49 50 52 53 54 55 58 59 60 67 68 71,rrhc
618,905,1828,4 5 8 9 10 13 14 15 17 22 25 29 34 39 43 47 49 50 52 53 54 55 58 59 67 68 71,inverse
620,883,46,3 4 5 14 16 22 23 32 35 36 37 38 50 51 70 72,inverse
620,883,45,4 5 11 14 16 23 32 35 36 37 38 42 48 61 71 72,rrhc
620,894,49,3 6 10 18 22 24 27 30 35 36 37 39 40 41 44 46 49 56 60 63 65 68,rrhc
620,894,1815,6 9 10 11 12 13 18 35 36 37 39 40 41 42 43 44 56 62 63 64 65 68,inverse
620,914,42,5 7 8 9 10 12 17 22 23 25 28 29 30 31 32 33 37 38 39 40 41 42 45 47 48 49 54 58 62 66 68 69 71,ilp
620,914,1811,7 8 10 13 14 16 17 22 23 24 25 27 28 29 31 33 37 38 39 40 41 42 45 46 47 50 51 54 58 64 66 68 69,inverse
626,894,50,2 3 6 7 12 16 18 23 25 29 30 38 40 43 45 51 53 56 58 64 70 72,rrhc
626,894,1816,3 6 9 10 12 16 18 20 21 22 29 30 37 44 45 51 53 57 58 64 70 72,inverse
627,883,45,3 5 6 7 9 17 18 33 35 36 39 44 48 50 68 70,inverse
627,883,46,3 5 6 9 17 18 20 33 35 36 48 50 60 62 67 69,rrhc
627,894,51,5 6 10 12 17 18 21 22 23 33 35 36 37 38 45 46 58 59 60 63 65 67,rrhc
627,894,1817,5 6 8 10 12 17 18 33 35 36 37 38 39 40 41 42 44 46 61 63 65 72,inverse
627,912,1830,5 11 12 13 17 19 21 22 23 24 25 26 27 28 31 33 35 36 37 39 41 42 44 46 47 48 50 55 57 59 68 70,inverse
627,912,66,5 8 11 12 13 17 19 23 25 26 27 28 31 33 35 36 38 40 41 42 43 46 47 48 50 55 56 59 60 62 67 69,rrhc
630,912,41,2 3 4 7 9 10 12 17 19 20 21 23 25 26 29 31 37 39 40 43 46 49 51 52 53 54 55 58 60 64 65 71,ilp
630,912,1810,2 4 7 9 10 11 13 17 19 20 21 23 25 26 27 28 30 37 39 40 43 46 47 48 50 52 53 54 55 58 60 63,inverse
634,912,1831,2 6 7 9 13 19 20 25 26 27 29 31 32 34 35 38 40 45 46 47 50 51 56 57 61 62 63 65 66 68 70 72,inverse
634,912,67,2 6 9 11 13 19 21 25 26 28 31 32 34 35 38 41 45 46 48 49 51 56 57 59 61 62 64 66 68 70 71 72,rrhc
636,894,1818,2 5 10 16 17 19 20 23 26 27 29 30 31 41 43 48 54 58 60 64 67 68,inverse
636,894,52,2 5 12 16 17 19 20 23 25 28 31 37 41 43 48 50 54 55 58 60 62 63,rrhc
636,895,57,3 5 7 8 10 16 20 21 26 28 29 34 42 49 50 53 60 62 66 67 68 71 72,rrhc
636,895,1823,5 7 8 9 11 13 16 23 25 27 30 34 37 41 53 55 61 62 63 65 66 67 69,inverse
637,883,47,5 10 16 20 24 27 28 34 35 36 41 46 53 58 66 71,rrhc
637,883,1814,5 16 24 25 26 27 28 34 35 36 53 55 56 57 66 71,inverse
637,894,1819,5 16 19 23 29 32 33 34 35 36 37 38 43 44 50 56 57 60 61 65 68 70,inverse
637,894,53,5 7 13 16 20 21 23 30 32 33 34 35 36 39 40 43 44 50 58 60 61 70,rrhc
637,895,58,3 10 16 17 23 24 25 28 30 34 37 38 40 41 50 52 53 58 60 61 63 64 67,rrhc
637,895,1824,3 5 21 23 24 26 27 34 39 43 46 50 52 53 54 55 56 63 64 65 68 69 70,inverse
638,894,1820,5 7 10 16 17 19 20 23 24 31 39 42 46 49 51 54 56 61 64 65 71 72,inverse
638,894,54,5 7 9 16 17 19 20 25 27 29 39 42 46 48 50 54 56 60 64 65 70 72,rrhc
639,895,59,13 16 18 19 21 24 25 26 27 29 30 32 35 37 39 40 45 53 59 61 63 71 72,rrhc
