n,k,t,lambda,mu,lib_id,members,source_method
81,38,34,15,20,3,2 3 4 6 7 13 16 19 21 24 34 36 37 38 39 40 41 42 43 45 48 49 51 52 53 60 64 67 68 70 71 73 75 76 78 79 80 81,rrhc
81,38,34,15,20,3,2 4 6 7 10 11 13 16 19 21 24 28 34 36 37 38 39 40 41 42 43 49 51 52 53 60 64 65 67 68 70 71 73 75 78 79 80 81,inverse
81,26,10,9,8,7,2 3 6 8 19 20 22 26 27 28 30 31 34 36 42 51 59 65 67 69 70 71 72 73 75 76,rrhc
81,26,10,9,8,7,2 6 10 19 25 28 29 30 31 32 38 41 42 43 44 48 51 54 55 56 57 61 70 76 80 81,inverse
81,38,34,15,20,7,3 7 8 11 16 17 21 22 23 26 27 30 31 33 35 36 39 40 41 43 44 45 52 53 56 57 58 62 63 65 68 69 72 74 75 77 78 81,inverse
81,38,34,15,20,7,7 8 10 11 16 17 21 22 23 25 29 30 31 33 35 36 39 40 41 43 44 45 48 52 53 56 57 58 62 63 68 69 72 74 75 77 78 81,rrhc
81,26,10,9,8,8,3 10 17 18 22 23 24 25 30 31 33 34 41 42 49 52 53 60 61 66 67 68 72 73 74 76,inverse
81,26,10,9,8,8,7 11 18 19 24 25 29 30 31 34 35 40 41 44 45 47 52 57 59 63 66 70 71 73 78 81,rrhc
81,26,10,9,8,9,2 10 12 13 14 16 17 18 22 25 35 38 39 40 42 44 48 49 51 53 58 62 69 71 76 81,inverse
81,26,10,9,8,9,4 6 7 10 12 23 24 25 33 34 40 48 49 50 57 59 60 62 63 68 69 70 72 73 76 81,rrhc
81,38,34,15,20,12,2 6 8 9 14 21 23 28 33 34 35 37 38 39 41 43 44 48 49 50 53 54 56 57 59 61 64 65 67 68 69 70 72 73 74 76 79 80,rrhc
81,38,34,15,20,12,2 6 8 9 14 23 28 32 33 34 35 37 38 39 40 41 42 43 44 48 49 50 51 53 54 56 57 59 64 65 67 70 72 73 74 76 79 80,inverse
81,38,34,15,20,13,2 3 6 9 14 16 18 19 20 21 22 23 24 33 34 36 37 38 39 41 43 47 48 49 50 53 56 57 59 65 67 69 70 73 74 76 79 81,inverse
81,38,34,15,20,13,2 6 9 10 12 14 16 18 19 20 21 22 23 24 28 33 34 36 37 38 39 41 43 48 50 53 56 57 59 64 65 67 69 70 73 74 79 81,rrhc
