group_id,param_id,graph_id,members,source_method
25,23,1357,2 3 11 12 13 14 15,exhaustive
25,23,1357,2 3 5 6 8 10 13,exhaustive
25,23,1357,2 3 5 8 10 12 16,exhaustive
25,23,1357,2 3 6 11 14 15 16,exhaustive
25,23,1357,2 5 6 8 9 13 15,exhaustive
25,23,1357,2 5 8 9 12 15 16,exhaustive
25,23,1357,2 6 9 10 11 14 16,exhaustive
25,23,1357,2 9 10 11 12 13 14,exhaustive
25,23,1357,3 5 6 7 10 13 14,exhaustive
25,23,1357,3 5 7 10 12 14 16,exhaustive
25,23,1357,3 6 7 8 11 15 16,exhaustive
25,23,1357,3 7 8 11 12 13 15,exhaustive
25,23,1357,5 6 7 9 13 14 15,exhaustive
25,23,1357,5 7 9 12 14 15 16,exhaustive
25,23,1357,6 7 8 9 10 11 16,exhaustive
25,23,1357,7 8 9 10 11 12 13,exhaustive
26,23,1357,2 3 5 6 8 10 13,exhaustive
26,23,1357,2 3 5 8 10 12 16,exhaustive
26,23,1357,2 5 6 8 9 13 15,exhaustive
26,23,1357,2 5 8 9 12 15 16,exhaustive
26,23,1357,3 5 6 7 10 13 14,exhaustive
26,23,1357,3 5 7 10 12 14 16,exhaustive
26,23,1357,5 6 7 9 13 14 15,exhaustive
26,23,1357,5 7 9 12 14 15 16,exhaustive
29,22,1354,2 10 11 12 13 14 15,exhaustive
29,22,1354,2 3 4 12 13 14 15,exhaustive
29,22,1354,2 3 4 6 7 15 16,exhaustive
29,22,1354,2 3 4 7 9 12 13,exhaustive
29,22,1354,2 3 4 9 12 13 14,exhaustive
29,22,1354,2 3 6 11 14 15 16,exhaustive
29,22,1354,2 3 6 7 9 11 16,exhaustive
29,22,1354,2 3 6 9 11 14 16,exhaustive
29,22,1354,2 3 7 11 12 13 15,exhaustive
29,22,1354,2 4 6 10 14 15 16,exhaustive
29,22,1354,2 4 6 7 10 15 16,exhaustive
29,22,1354,2 4 6 9 10 14 16,exhaustive
29,22,1354,2 4 7 9 10 12 13,exhaustive
29,22,1354,2 6 7 9 10 11 16,exhaustive
29,22,1354,2 7 10 11 12 13 15,exhaustive
29,22,1354,2 9 10 11 12 13 14,exhaustive
29,22,1354,3 4 6 7 8 15 16,exhaustive
29,22,1354,3 4 6 7 8 9 16,exhaustive
29,22,1354,3 4 6 8 9 14 16,exhaustive
29,22,1354,3 4 8 12 13 14 15,exhaustive
29,22,1354,3 6 8 11 14 15 16,exhaustive
29,22,1354,3 7 8 11 12 13 15,exhaustive
29,22,1354,3 7 8 9 11 12 13,exhaustive
29,22,1354,3 8 9 11 12 13 14,exhaustive
29,22,1354,4 6 8 9 10 14 16,exhaustive
29,22,1354,4 7 8 10 12 13 15,exhaustive
29,22,1354,4 7 8 9 10 12 13,exhaustive
29,22,1354,4 8 10 12 13 14 15,exhaustive
29,22,1354,6 7 8 10 11 15 16,exhaustive
29,22,1354,6 7 8 9 10 11 16,exhaustive
29,22,1354,6 8 10 11 14 15 16,exhaustive
29,22,1354,8 9 10 11 12 13 14,exhaustive
29,23,1357,2 3 5 6 8 10 13,exhaustive
29,23,1357,2 3 5 8 10 12 16,exhaustive
29,23,1357,2 5 6 8 9 13 15,exhaustive
29,23,1357,2 5 8 9 12 15 16,exhaustive
29,23,1357,3 5 6 7 10 13 14,exhaustive
29,23,1357,3 5 7 10 12 14 16,exhaustive
29,23,1357,5 6 7 9 13 14 15,exhaustive
29,23,1357,5 7 9 12 14 15 16,exhaustive
30,22,1356,2 10 11 12 13 14 15,exhaustive
30,22,1356,2 3 4 12 13 14 15,exhaustive
30,22,1355,2 3 4 6 7 15 16,exhaustive
30,22,1356,2 3 4 7 9 12 13,exhaustive
30,22,1355,2 3 4 9 12 13 14,exhaustive
30,22,1355,2 3 6 11 14 15 16,exhaustive
30,22,1355,2 3 6 7 9 11 16,exhaustive
30,22,1356,2 3 6 9 11 14 16,exhaustive
30,22,1356,2 3 7 11 12 13 15,exhaustive
30,22,1355,2 4 6 10 14 15 16,exhaustive
30,22,1356,2 4 6 7 10 15 16,exhaustive
30,22,1356,2 4 6 9 10 14 16,exhaustive
30,22,1355,2 4 7 9 10 12 13,exhaustive
30,22,1356,2 6 7 9 10 11 16,exhaustive
30,22,1355,2 7 10 11 12 13 15,exhaustive
30,22,1355,2 9 10 11 12 13 14,exhaustive
30,22,1356,3 4 6 7 8 15 16,exhaustive
30,22,1355,3 4 6 7 8 9 16,exhaustive
30,22,1356,3 4 6 8 9 14 16,exhaustive
30,22,1355,3 4 8 12 13 14 15,exhaustive
30,22,1356,3 6 8 11 14 15 16,exhaustive
30,22,1355,3 7 8 11 12 13 15,exhaustive
30,22,1356,3 7 8 9 11 12 13,exhaustive
30,22,1355,3 8 9 11 12 13 14,exhaustive
30,22,1355,4 6 8 9 10 14 16,exhaustive
30,22,1355,4 7 8 10 12 13 15,exhaustive
30,22,1356,4 7 8 9 10 12 13,exhaustive
30,22,1356,4 8 10 12 13 14 15,exhaustive
30,22,1356,6 7 8 10 11 15 16,exhaustive
30,22,1355,6 7 8 9 10 11 16,exhaustive
30,22,1355,6 8 10 11 14 15 16,exhaustive
30,22,1356,8 9 10 11 12 13 14,exhaustive
30,23,1357,2 3 5 6 8 10 13,exhaustive
30,23,1357,2 3 5 8 10 12 16,exhaustive
30,23,1357,2 5 6 8 9 13 15,exhaustive
30,23,1357,2 5 8 9 12 15 16,exhaustive
30,23,1357,3 5 6 7 10 13 14,exhaustive
30,23,1357,3 5 7 10 12 14 16,exhaustive
30,23,1357,5 6 7 9 13 14 15,exhaustive
30,23,1357,5 7 9 12 14 15 16,exhaustive
31,23,1357,2 3 5 6 8 10 13,exhaustive
31,23,1357,2 3 5 8 10 12 16,exhaustive
31,23,1357,2 5 6 8 9 13 15,exhaustive
31,23,1357,2 5 8 9 12 15 16,exhaustive
31,23,1357,3 5 6 7 10 13 14,exhaustive
31,23,1357,3 5 7 10 12 14 16,exhaustive
31,23,1357,5 6 7 9 13 14 15,exhaustive
31,23,1357,5 7 9 12 14 15 16,exhaustive
33,23,1357,2 3 11 12 13 14 15,exhaustive
33,23,1357,2 3 4 6 7 9 12,exhaustive
33,23,1357,2 3 4 7 9 13 16,exhaustive
33,23,1357,2 3 6 11 14 15 16,exhaustive
33,23,1357,2 4 6 7 10 12 15,exhaustive
33,23,1357,2 4 7 10 13 15 16,exhaustive
33,23,1357,2 6 9 10 11 14 16,exhaustive
33,23,1357,2 9 10 11 12 13 14,exhaustive
33,23,1357,3 4 6 8 9 12 14,exhaustive
33,23,1357,3 4 8 9 13 14 16,exhaustive
33,23,1357,3 6 7 8 11 15 16,exhaustive
33,23,1357,3 7 8 11 12 13 15,exhaustive
33,23,1357,4 6 8 10 12 14 15,exhaustive
33,23,1357,4 8 10 13 14 15 16,exhaustive
33,23,1357,6 7 8 9 10 11 16,exhaustive
33,23,1357,7 8 9 10 11 12 13,exhaustive
