n,k,t,lambda,mu,lib_id,members,source_method
14,6,3,2,3,1,2 3 4 5 6 7,exhaustive
14,6,3,2,3,1,2 3 4 5 7 14,exhaustive
14,6,3,2,3,1,2 3 4 5 8 9,exhaustive
14,6,3,2,3,1,2 3 4 5 9 12,exhaustive
14,6,3,2,3,1,2 3 4 9 10 11,exhaustive
14,6,3,2,3,1,2 3 5 6 8 9,exhaustive
14,6,3,2,3,1,2 3 5 6 9 14,exhaustive
14,6,3,2,3,1,2 3 5 7 12 14,exhaustive
14,6,3,2,3,1,2 3 5 9 10 12,exhaustive
14,6,3,2,3,1,2 3 5 9 10 14,exhaustive
14,6,3,2,3,1,2 3 6 7 10 11,exhaustive
14,6,3,2,3,1,2 3 6 7 11 12,exhaustive
14,6,3,2,3,1,2 3 7 8 11 12,exhaustive
14,6,3,2,3,1,2 3 8 9 10 11,exhaustive
14,6,3,2,3,1,2 3 8 9 11 14,exhaustive
14,6,3,2,3,1,2 4 5 7 10 13,exhaustive
14,6,3,2,3,1,2 4 6 9 11 13,exhaustive
14,6,3,2,3,1,2 4 7 11 12 13,exhaustive
14,6,3,2,3,1,2 4 7 8 11 13,exhaustive
14,6,3,2,3,1,2 4 9 11 13 14,exhaustive
14,6,3,2,3,1,2 5 6 9 10 13,exhaustive
14,6,3,2,3,1,2 5 6 9 12 13,exhaustive
14,6,3,2,3,1,2 5 7 8 10 13,exhaustive
14,6,3,2,3,1,2 5 7 8 13 14,exhaustive
14,6,3,2,3,1,2 5 8 9 12 13,exhaustive
14,6,3,2,3,1,2 6 7 11 13 14,exhaustive
14,6,3,2,3,1,2 6 7 8 11 13,exhaustive
14,6,3,2,3,1,2 7 10 11 12 13,exhaustive
14,6,3,2,3,1,2 7 10 11 13 14,exhaustive
14,6,3,2,3,1,2 9 11 12 13 14,exhaustive
14,6,3,2,3,1,3 4 5 6 7 8,exhaustive
14,6,3,2,3,1,3 4 5 6 9 10,exhaustive
14,6,3,2,3,1,3 4 5 6 9 14,exhaustive
14,6,3,2,3,1,3 4 5 8 9 10,exhaustive
14,6,3,2,3,1,3 4 5 9 12 14,exhaustive
14,6,3,2,3,1,3 4 6 9 11 12,exhaustive
14,6,3,2,3,1,3 4 7 10 11 14,exhaustive
14,6,3,2,3,1,3 4 7 8 11 12,exhaustive
14,6,3,2,3,1,3 4 7 8 11 14,exhaustive
14,6,3,2,3,1,3 4 9 10 11 12,exhaustive
14,6,3,2,3,1,3 5 6 7 8 10,exhaustive
14,6,3,2,3,1,3 5 6 8 9 12,exhaustive
14,6,3,2,3,1,3 5 6 9 10 12,exhaustive
14,6,3,2,3,1,3 5 7 10 12 14,exhaustive
14,6,3,2,3,1,3 5 7 8 10 12,exhaustive
14,6,3,2,3,1,3 5 8 9 10 14,exhaustive
14,6,3,2,3,1,3 5 8 9 12 14,exhaustive
14,6,3,2,3,1,3 6 7 10 11 14,exhaustive
14,6,3,2,3,1,3 6 8 9 11 14,exhaustive
14,6,3,2,3,1,3 6 9 11 12 14,exhaustive
14,6,3,2,3,1,4 5 6 7 12 13,exhaustive
14,6,3,2,3,1,4 5 7 10 12 13,exhaustive
14,6,3,2,3,1,4 5 8 9 12 13,exhaustive
14,6,3,2,3,1,4 5 8 9 13 14,exhaustive
14,6,3,2,3,1,4 5 9 10 13 14,exhaustive
14,6,3,2,3,1,4 6 7 10 11 13,exhaustive
14,6,3,2,3,1,4 6 7 11 13 14,exhaustive
14,6,3,2,3,1,4 6 8 9 11 13,exhaustive
14,6,3,2,3,1,4 7 11 12 13 14,exhaustive
14,6,3,2,3,1,4 7 8 10 11 13,exhaustive
14,6,3,2,3,1,5 6 7 12 13 14,exhaustive
14,6,3,2,3,1,5 6 7 8 13 14,exhaustive
14,6,3,2,3,1,5 6 9 10 13 14,exhaustive
14,6,3,2,3,1,6 7 10 11 12 13,exhaustive
14,6,3,2,3,1,6 7 8 11 12 13,exhaustive
14,6,3,2,3,1,6 8 9 10 11 13,exhaustive
14,6,3,2,3,1,7 8 10 11 13 14,exhaustive
14,6,3,2,3,1,7 8 11 12 13 14,exhaustive
14,6,3,2,3,1,8 9 10 11 12 13,exhaustive
14,6,3,2,3,1,9 10 11 12 13 14,exhaustive
