n,k,t,lambda,mu,lib_id,members,source_method
27,8,4,3,2,3,11 12 13 14 15 16 17 27,exhaustive
27,8,4,3,2,3,11 12 14 15 17 18 21 23,exhaustive
27,8,4,3,2,3,11 15 16 17 20 22 24 26,exhaustive
27,8,4,3,2,3,12 13 15 17 22 23 24 25,exhaustive
27,8,4,3,2,3,12 15 16 17 18 22 25 26,exhaustive
27,8,4,3,2,3,13 14 15 16 17 18 19 20,exhaustive
27,8,4,3,2,3,2 11 12 16 17 21 22 27,exhaustive
27,8,4,3,2,3,2 13 14 17 18 20 23 25,exhaustive
27,8,4,3,2,3,2 16 17 18 19 20 21 22,exhaustive
27,8,4,3,2,3,2 3 11 16 20 22 26 27,exhaustive
27,8,4,3,2,3,2 3 12 13 22 23 25 27,exhaustive
27,8,4,3,2,3,2 3 5 13 14 16 25 27,exhaustive
27,8,4,3,2,3,2 3 5 14 18 21 23 25,exhaustive
27,8,4,3,2,3,2 3 5 6 11 16 21 24,exhaustive
27,8,4,3,2,3,2 3 5 6 11 23 26 27,exhaustive
27,8,4,3,2,3,2 3 5 6 8 11 13 18,exhaustive
27,8,4,3,2,3,2 3 5 8 14 24 25 26,exhaustive
27,8,4,3,2,3,2 3 6 8 12 13 19 24,exhaustive
27,8,4,3,2,3,2 3 6 8 13 20 25 27,exhaustive
27,8,4,3,2,3,2 3 8 11 12 14 26 27,exhaustive
27,8,4,3,2,3,2 3 8 14 18 19 20 26,exhaustive
27,8,4,3,2,3,2 5 16 17 21 22 24 25,exhaustive
27,8,4,3,2,3,2 5 17 22 23 25 26 27,exhaustive
27,8,4,3,2,3,2 5 6 13 16 17 19 27,exhaustive
27,8,4,3,2,3,2 5 6 17 18 19 21 23,exhaustive
27,8,4,3,2,3,2 5 6 8 17 19 24 26,exhaustive
27,8,4,3,2,3,2 5 8 13 17 18 22 25,exhaustive
27,8,4,3,2,3,2 5 8 9 11 22 24 26,exhaustive
27,8,4,3,2,3,2 5 8 9 13 14 18 19,exhaustive
27,8,4,3,2,3,2 5 9 11 13 16 22 27,exhaustive
27,8,4,3,2,3,2 5 9 11 18 21 22 23,exhaustive
27,8,4,3,2,3,2 5 9 14 16 19 21 24,exhaustive
27,8,4,3,2,3,2 5 9 14 19 23 26 27,exhaustive
27,8,4,3,2,3,2 6 11 13 16 17 20 24,exhaustive
27,8,4,3,2,3,2 6 12 13 16 17 18 25,exhaustive
27,8,4,3,2,3,2 6 8 9 19 20 21 24,exhaustive
27,8,4,3,2,3,2 6 9 11 12 16 24 26,exhaustive
27,8,4,3,2,3,2 8 12 14 17 18 19 21,exhaustive
27,8,4,3,2,3,2 9 11 14 20 23 24 26,exhaustive
27,8,4,3,2,3,2 9 12 14 18 23 25 26,exhaustive
27,8,4,3,2,3,2 9 12 19 21 22 23 24,exhaustive
27,8,4,3,2,3,2 9 20 21 22 23 25 27,exhaustive
27,8,4,3,2,3,3 11 14 15 18 20 23 26,exhaustive
27,8,4,3,2,3,3 12 13 15 16 19 22 27,exhaustive
27,8,4,3,2,3,3 12 15 18 19 21 22 23,exhaustive
27,8,4,3,2,3,3 5 14 15 16 18 19 21,exhaustive
27,8,4,3,2,3,3 5 6 7 19 21 23 24,exhaustive
27,8,4,3,2,3,3 5 6 8 15 21 24 25,exhaustive
27,8,4,3,2,3,3 5 7 8 11 14 18 21,exhaustive
27,8,4,3,2,3,3 5 7 8 13 22 24 25,exhaustive
27,8,4,3,2,3,3 5 8 11 15 18 22 26,exhaustive
27,8,4,3,2,3,3 6 11 12 13 15 23 24,exhaustive
