n,k,t,lambda,mu,lib_id,members,source_method
80,37,21,16,18,11,3 6 7 9 10 12 14 15 18 19 20 21 22 31 32 33 34 35 39 40 44 45 46 49 53 54 58 59 60 63 70 71 72 73 74 78 79,inverse
80,37,21,16,18,11,3 7 9 10 12 13 14 16 17 18 19 20 21 22 26 27 28 29 30 33 34 35 39 40 41 42 43 47 48 49 53 54 57 61 62 70 78,rrhc
80,37,21,16,18,13,2 3 6 8 9 10 12 14 15 16 21 22 29 31 32 36 40 44 45 46 50 51 52 54 58 59 60 64 65 66 70 71 72 73 75 78 79,inverse
80,37,21,16,18,13,2 3 8 9 10 12 13 14 17 21 22 26 27 28 30 36 40 41 42 43 47 48 50 51 52 54 57 61 62 63 64 65 66 70 74 75 78,rrhc
80,37,21,16,18,19,2 3 5 6 7 8 10 13 15 17 18 19 22 25 26 27 30 33 36 39 41 44 47 50 51 53 55 58 59 61 63 64 68 70 71 74 78,rrhc
80,37,21,16,18,19,2 3 5 7 8 10 16 18 19 22 25 28 29 31 32 33 36 39 42 43 45 46 48 50 51 53 55 57 60 62 64 68 70 72 73 78 79,inverse
80,21,9,4,6,30,3 4 7 12 13 22 24 29 32 33 35 43 45 53 55 58 63 68 70 76 79,rrhc
80,21,9,4,6,30,3 4 7 12 16 17 23 29 33 37 40 44 45 50 51 68 69 70 71 72 73,inverse
80,37,21,16,18,30,3 4 6 7 12 22 23 24 26 27 28 29 30 31 32 33 34 35 36 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 78 79 80,rrhc
80,37,21,16,18,30,3 4 7 12 16 17 20 23 27 28 29 30 33 34 36 37 39 40 41 42 47 48 50 53 54 56 59 60 61 62 66 69 71 72 75 77 80,inverse
80,21,9,4,6,31,3 4 6 7 12 21 23 28 29 34 36 40 45 54 59 63 64 71 72 76 77,inverse
80,21,9,4,6,31,3 4 9 12 16 18 22 28 29 35 36 45 48 52 53 56 58 59 75 76 79,rrhc
80,37,21,16,18,36,2 3 11 13 15 16 19 20 23 24 25 26 29 30 32 36 38 39 41 44 47 48 51 56 57 58 59 61 64 65 68 69 73 76 77 78 80,rrhc
80,37,21,16,18,36,2 3 6 11 17 19 20 23 24 25 27 28 30 31 36 39 43 50 51 53 54 56 57 58 60 61 62 63 69 72 74 75 76 77 78 79 80,inverse
80,37,21,16,18,43,3 4 10 15 17 20 22 23 25 28 29 30 31 34 35 37 42 43 45 48 49 50 56 57 60 63 64 65 67 69 70 72 73 75 77 78 79,rrhc
80,37,21,16,18,43,3 4 6 10 13 16 20 22 23 25 26 27 32 34 35 37 41 44 46 47 49 50 56 58 59 61 62 64 65 67 69 70 71 74 75 77 78,inverse
80,21,9,4,6,49,5 13 16 17 18 19 21 23 24 27 28 29 36 52 60 62 66 67 71 75 79,inverse
80,21,9,4,6,49,5 7 9 13 16 17 27 29 36 38 44 54 58 61 62 63 65 72 75 77 80,rrhc
80,21,9,4,6,50,2 5 15 17 21 22 23 27 36 44 53 57 59 61 65 66 69 71 72 74 80,rrhc
80,21,9,4,6,50,5 8 9 22 26 27 28 32 40 49 50 53 57 59 61 62 67 68 71 74 77,inverse
80,37,21,16,18,50,2 5 6 8 14 15 17 19 20 23 27 29 30 33 34 37 38 40 41 43 44 51 54 55 57 58 59 60 63 64 67 68 71 72 74 76 78,rrhc
80,37,21,16,18,50,5 7 9 13 14 18 20 21 23 26 27 28 29 32 34 37 38 40 41 42 43 46 48 51 54 56 57 59 62 63 64 66 69 71 74 75 78,inverse
80,37,21,16,18,51,2 3 5 6 8 10 13 15 16 17 20 22 23 25 26 27 28 29 30 34 35 36 37 39 40 41 42 43 47 49 50 51 53 54 57 61 64,rrhc
80,37,21,16,18,51,2 3 5 8 10 20 22 23 25 31 32 34 35 36 37 39 40 44 45 46 48 49 50 51 53 54 58 59 60 62 63 64 71 72 73 74 79,inverse
