n,k,t,lambda,mu,lib_id,members,source_method
24,8,4,0,4,1,12 16 18 19 21 22 23 24,exhaustive
24,8,4,0,4,1,2 5 6 7 10 11 13 17,exhaustive
24,8,4,0,4,1,2 6 7 12 13 18 19 23,exhaustive
24,8,4,0,4,1,5 10 11 16 17 21 22 24,exhaustive
24,8,4,0,4,1,5 8 10 11 14 15 17 20,exhaustive
24,8,4,0,4,1,8 12 14 15 18 19 20 23,exhaustive
24,11,7,6,4,1,2 3 4 5 6 7 9 10 11 13 17,exhaustive
24,11,7,6,4,1,2 3 4 6 7 9 12 13 18 19 23,exhaustive
24,11,7,6,4,1,3 4 5 8 9 10 11 14 15 17 20,exhaustive
24,11,7,6,4,1,3 4 5 9 10 11 16 17 21 22 24,exhaustive
24,11,7,6,4,1,3 4 8 9 12 14 15 18 19 20 23,exhaustive
24,11,7,6,4,1,3 4 9 12 16 18 19 21 22 23 24,exhaustive
24,6,2,0,2,3,10 16 19 20 23 24,exhaustive
24,6,2,0,2,3,2 3 9 11 14 22,exhaustive
24,6,2,0,2,3,2 4 9 12 20 24,exhaustive
24,6,2,0,2,3,2 9 10 13 19 21,exhaustive
24,6,2,0,2,3,3 6 11 15 16 23,exhaustive
24,6,2,0,2,3,3 7 11 13 17 21,exhaustive
24,6,2,0,2,3,3 8 11 18 20 24,exhaustive
24,6,2,0,2,3,4 12 13 16 21 23,exhaustive
24,6,2,0,2,3,4 6 7 12 15 17,exhaustive
24,6,2,0,2,3,4 8 12 14 18 22,exhaustive
24,6,2,0,2,3,6 8 10 15 18 19,exhaustive
24,6,2,0,2,3,7 10 14 17 19 22,exhaustive
24,7,3,2,2,3,2 3 5 9 11 14 22,exhaustive
24,7,3,2,2,3,2 4 5 9 12 20 24,exhaustive
24,7,3,2,2,3,2 5 9 10 13 19 21,exhaustive
24,7,3,2,2,3,3 5 6 11 15 16 23,exhaustive
24,7,3,2,2,3,3 5 7 11 13 17 21,exhaustive
24,7,3,2,2,3,3 5 8 11 18 20 24,exhaustive
24,7,3,2,2,3,4 5 12 13 16 21 23,exhaustive
24,7,3,2,2,3,4 5 6 7 12 15 17,exhaustive
24,7,3,2,2,3,4 5 8 12 14 18 22,exhaustive
24,7,3,2,2,3,5 10 16 19 20 23 24,exhaustive
24,7,3,2,2,3,5 6 8 10 15 18 19,exhaustive
24,7,3,2,2,3,5 7 10 14 17 19 22,exhaustive
24,11,7,6,4,3,2 3 5 6 7 9 11 13 15 17 21,exhaustive
24,11,7,6,4,3,2 3 5 6 8 9 11 15 18 20 24,exhaustive
24,11,7,6,4,3,2 3 5 7 9 11 14 17 20 22 24,exhaustive
24,11,7,6,4,3,2 3 5 8 9 11 13 14 18 21 22,exhaustive
24,11,7,6,4,3,2 4 5 6 8 9 12 14 15 18 22,exhaustive
24,11,7,6,4,3,2 4 5 6 9 12 13 15 16 21 23,exhaustive
24,11,7,6,4,3,2 4 5 8 9 12 13 18 20 21 24,exhaustive
24,11,7,6,4,3,2 4 5 9 12 14 16 20 22 23 24,exhaustive
24,11,7,6,4,3,2 5 6 7 9 10 14 15 17 19 22,exhaustive
24,11,7,6,4,3,2 5 6 9 10 15 16 19 20 23 24,exhaustive
24,11,7,6,4,3,2 5 7 9 10 13 17 19 20 21 24,exhaustive
24,11,7,6,4,3,2 5 9 10 13 14 16 19 21 22 23,exhaustive
24,11,7,6,4,3,3 5 6 7 11 15 16 17 20 23 24,exhaustive
24,11,7,6,4,3,3 5 6 8 11 13 15 16 18 21 23,exhaustive
24,11,7,6,4,3,3 5 7 11 13 14 16 17 21 22 23,exhaustive
24,11,7,6,4,3,3 5 8 11 14 16 18 20 22 23 24,exhaustive
24,11,7,6,4,3,4 5 6 7 12 14 15 16 17 22 23,exhaustive
24,11,7,6,4,3,4 5 6 7 8 12 13 15 17 18 21,exhaustive
24,11,7,6,4,3,4 5 7 12 13 16 17 20 21 23 24,exhaustive
24,11,7,6,4,3,4 5 7 8 12 14 17 18 20 22 24,exhaustive
24,11,7,6,4,3,5 6 7 8 10 15 17 18 19 20 24,exhaustive
24,11,7,6,4,3,5 6 8 10 14 15 16 18 19 22 23,exhaustive
24,11,7,6,4,3,5 7 8 10 13 14 17 18 19 21 22,exhaustive
24,11,7,6,4,3,5 8 10 13 16 18 19 20 21 23 24,exhaustive
24,8,4,0,4,4,12 16 18 19 21 22 23 24,exhaustive
24,8,4,0,4,4,2 5 6 7 10 11 13 17,exhaustive
24,8,4,0,4,4,2 6 7 12 13 18 19 23,exhaustive
24,8,4,0,4,4,5 10 11 16 17 21 22 24,exhaustive
24,8,4,0,4,4,5 8 10 11 14 15 17 20,exhaustive
24,8,4,0,4,4,8 12 14 15 18 19 20 23,exhaustive
24,11,7,6,4,4,2 3 4 5 6 7 9 10 11 13 17,exhaustive
24,11,7,6,4,4,2 3 4 6 7 9 12 13 18 19 23,exhaustive
24,11,7,6,4,4,2 4 5 7 11 14 16 18 20 22 23,exhaustive
24,11,7,6,4,4,2 4 5 7 11 14 18 20 21 23 24,exhaustive
24,11,7,6,4,4,2 4 5 7 8 11 15 18 21 23 24,exhaustive
24,11,7,6,4,4,2 4 7 10 12 14 16 17 19 20 22,exhaustive
24,11,7,6,4,4,2 4 7 10 12 14 17 19 20 21 24,exhaustive
24,11,7,6,4,4,2 4 7 8 10 12 15 17 19 21 24,exhaustive
24,11,7,6,4,4,3 4 5 8 9 10 11 14 15 17 20,exhaustive
24,11,7,6,4,4,3 4 5 9 10 11 16 17 21 22 24,exhaustive
24,11,7,6,4,4,3 4 8 9 12 14 15 18 19 20 23,exhaustive
24,11,7,6,4,4,3 4 9 12 16 18 19 21 22 23 24,exhaustive
24,11,7,6,4,4,4 5 6 11 13 14 16 18 20 22 23,exhaustive
24,11,7,6,4,4,4 5 6 8 11 13 15 16 18 22 23,exhaustive
24,11,7,6,4,4,4 5 6 8 11 13 15 18 21 23 24,exhaustive
24,11,7,6,4,4,4 6 10 12 13 14 16 17 19 20 22,exhaustive
24,11,7,6,4,4,4 6 8 10 12 13 15 16 17 19 22,exhaustive
24,11,7,6,4,4,4 6 8 10 12 13 15 17 19 21 24,exhaustive
24,8,4,0,4,5,12 16 18 19 21 22 23 24,exhaustive
24,8,4,0,4,5,2 5 6 7 10 11 13 17,exhaustive
24,8,4,0,4,5,2 6 7 12 13 18 19 23,exhaustive
24,8,4,0,4,5,5 10 11 16 17 21 22 24,exhaustive
24,8,4,0,4,5,5 8 10 11 14 15 17 20,exhaustive
