n,k,t,lambda,mu,lib_id,members,source_method
108,37,19,10,14,8,3 4 6 11 15 16 20 21 22 23 26 28 30 37 38 45 47 51 52 54 60 62 64 69 78 82 83 84 87 88 89 91 94 95 99 105 108,rrhc
108,37,19,10,14,19,2 3 4 6 7 10 14 15 16 17 38 43 47 48 49 53 58 60 67 72 73 78 82 83 85 86 87 90 96 98 99 101 102 103 104 107 108,rrhc
108,37,19,10,14,22,2 4 5 7 8 13 16 23 26 27 31 36 37 40 41 47 56 57 58 60 66 71 77 78 86 87 90 94 95 98 99 102 103 104 106 107 108,rrhc
108,37,19,10,14,28,2 8 11 12 15 16 18 23 24 26 29 30 33 37 41 44 47 49 51 58 64 66 69 70 77 78 84 90 92 93 94 96 98 100 101 106 108,rrhc
108,52,32,26,24,38,2 3 4 11 14 17 27 29 32 34 37 39 41 45 46 47 48 51 52 54 59 61 62 63 64 66 67 68 71 72 73 74 77 79 80 82 83 85 89 92 93 94 97 98 101 102 103 104 105 106 107 108,rrhc
108,52,32,26,24,44,14 15 16 17 18 19 23 25 26 28 29 31 32 34 35 36 38 39 40 42 43 44 45 46 47 50 51 54 56 57 59 61 62 65 68 73 80 86 87 89 90 93 96 97 98 99 100 101 102 103 105 106,rrhc
108,20,12,2,4,17,10 23 27 31 45 48 55 58 59 62 70 75 88 92 98 99 101 104 105 108,rrhc
108,20,12,2,4,25,2 7 9 28 31 37 42 47 60 61 70 72 75 78 80 81 83 101 102 103,rrhc
108,21,13,4,4,25,2 3 4 14 18 26 27 43 45 51 53 57 67 73 76 89 90 93 99 102 104,rrhc
108,21,13,4,4,28,3 15 18 20 22 23 24 27 29 35 46 52 54 64 67 74 78 87 94 95 100,rrhc
108,25,8,5,6,15,2 8 9 13 17 20 26 36 38 41 43 45 56 57 63 65 69 70 76 82 85 87 91 98 99,rrhc
108,25,8,5,6,17,4 17 20 26 34 36 38 41 45 48 49 54 56 61 68 69 71 76 78 81 84 87 102 104 107,rrhc
108,25,8,5,6,36,2 6 7 10 14 17 20 32 34 39 46 48 52 56 57 66 67 69 71 75 78 87 92 100 101,rrhc
108,25,8,5,6,40,2 4 5 7 15 20 30 31 34 38 39 41 44 47 50 51 52 54 57 58 65 71 78 101 105,rrhc
108,32,18,8,10,11,4 5 8 9 10 11 12 20 21 22 28 30 35 40 43 47 48 51 53 55 58 60 65 68 73 75 78 81 84 93 99 103,rrhc
