n,k,t,lambda,mu,lib_id,members,source_method
30,10,5,0,5,1,2 4 5 8 10 14 16 20 22 25,exhaustive
30,10,5,0,5,1,2 5 9 10 15 16 21 22 26 29,exhaustive
30,10,5,0,5,1,4 6 8 11 14 17 20 23 25 27,exhaustive
30,10,5,0,5,1,4 8 12 14 18 20 24 25 28 30,exhaustive
30,10,5,0,5,1,6 9 11 15 17 21 23 26 27 29,exhaustive
30,10,5,0,5,1,9 12 15 18 21 24 26 28 29 30,exhaustive
30,14,9,8,5,1,2 3 4 5 7 8 10 13 14 16 19 20 22 25,exhaustive
30,14,9,8,5,1,2 3 5 7 9 10 13 15 16 19 21 22 26 29,exhaustive
30,14,9,8,5,1,3 4 6 7 8 11 13 14 17 19 20 23 25 27,exhaustive
30,14,9,8,5,1,3 4 7 8 12 13 14 18 19 20 24 25 28 30,exhaustive
30,14,9,8,5,1,3 6 7 9 11 13 15 17 19 21 23 26 27 29,exhaustive
30,14,9,8,5,1,3 7 9 12 13 15 18 19 21 24 26 28 29 30,exhaustive
30,12,6,3,6,2,12 15 17 18 20 21 22 23 25 26 27 29,exhaustive
30,12,6,3,6,2,15 18 20 21 23 24 25 26 27 28 29 30,exhaustive
30,12,6,3,6,2,2 4 5 6 8 9 10 11 13 14 16 19,exhaustive
30,12,6,3,6,2,2 4 5 8 10 12 13 15 17 20 22 25,exhaustive
30,12,6,3,6,2,2 4 5 8 10 13 15 18 20 23 25 27,exhaustive
30,12,6,3,6,2,2 4 5 8 9 10 13 14 19 24 28 30,exhaustive
30,12,6,3,6,2,2 5 10 15 20 21 24 25 26 28 29 30,exhaustive
30,12,6,3,6,2,2 5 6 10 11 15 16 20 21 25 26 29,exhaustive
30,12,6,3,6,2,2 5 9 10 12 14 17 19 21 22 26 29,exhaustive
30,12,6,3,6,2,2 5 9 10 14 18 19 21 23 26 27 29,exhaustive
30,12,6,3,6,2,4 6 8 11 13 15 16 18 20 23 25 27,exhaustive
30,12,6,3,6,2,4 6 8 11 13 15 16 20 24 25 28 30,exhaustive
30,12,6,3,6,2,4 6 8 9 11 12 13 14 16 17 19 22,exhaustive
30,12,6,3,6,2,4 8 12 13 15 17 20 22 24 25 28 30,exhaustive
30,12,6,3,6,2,4 8 9 12 13 14 17 18 19 22 23 27,exhaustive
30,12,6,3,6,2,4 8 9 13 14 18 19 23 24 27 28 30,exhaustive
30,12,6,3,6,2,6 11 12 15 16 17 20 21 22 25 26 29,exhaustive
30,12,6,3,6,2,6 9 11 14 16 18 19 21 23 26 27 29,exhaustive
30,12,6,3,6,2,6 9 11 14 16 19 21 24 26 28 29 30,exhaustive
30,12,6,3,6,2,9 12 14 17 19 21 22 24 26 28 29 30,exhaustive
30,14,8,7,6,2,2 3 4 5 6 7 8 9 10 11 13 14 16 19,exhaustive
30,14,8,7,6,2,2 3 4 5 7 8 10 12 13 15 17 20 22 25,exhaustive
30,14,8,7,6,2,2 3 4 5 7 8 10 13 15 18 20 23 25 27,exhaustive
30,14,8,7,6,2,2 3 4 5 7 8 9 10 13 14 19 24 28 30,exhaustive
30,14,8,7,6,2,2 3 5 6 7 10 11 15 16 20 21 25 26 29,exhaustive
30,14,8,7,6,2,2 3 5 7 10 15 20 21 24 25 26 28 29 30,exhaustive
30,14,8,7,6,2,2 3 5 7 9 10 12 14 17 19 21 22 26 29,exhaustive
30,14,8,7,6,2,2 3 5 7 9 10 14 18 19 21 23 26 27 29,exhaustive
30,14,8,7,6,2,3 4 6 7 8 11 13 15 16 18 20 23 25 27,exhaustive
30,14,8,7,6,2,3 4 6 7 8 11 13 15 16 20 24 25 28 30,exhaustive
30,14,8,7,6,2,3 4 6 7 8 9 11 12 13 14 16 17 19 22,exhaustive
