n,k,t,lambda,mu,status,num_cayley,t_valid
24,11,6,5,5,known,20281170,3963264
24,12,7,5,7,known,20281170,3963264
24,11,7,6,4,known,20281170,3924960
24,12,8,4,8,known,20281170,3924960
24,11,8,7,3,known,20281170,3230640
24,12,9,3,9,known,20281170,3230640
25,9,6,5,2,open,2615008,295680
25,10,6,1,6,impossible,3922512,887040
26,11,7,4,5,known,8914800,1541760
26,12,6,5,6,known,10400600,1292544
26,13,7,6,7,known,10400600,1292544
27,7,4,1,2,open,3289000,514800
27,8,4,3,2,known,7811375,2059200
27,9,4,1,4,impossible,15622750,5765760
27,10,6,3,4,known,26558675,4804800
27,11,6,5,4,open,38630800,11531520
27,12,8,2,8,impossible,48288500,7207200
28,6,3,2,1,open,1184040,175040
28,7,2,1,2,known,3552120,932736
28,12,6,4,6,known,69535440,11851840
28,13,7,6,6,known,80233200,12534720
28,14,8,6,8,known,80233200,12534720
30,5,1,0,1,known,475020,98336
30,7,5,0,2,impossible,6243120,620952
30,9,3,2,3,known,40060020,6529664
30,9,5,4,2,known,40060020,6280800
30,10,5,0,5,known,80120040,13195392
30,10,4,2,4,known,80120040,15383424
30,11,9,2,5,open,138389160,7180560
30,11,5,4,4,known,138389160,22660736
30,12,6,3,6,known,207583740,36206464
30,12,11,4,5,open,207583740,2977812
30,13,8,5,6,known,271455660,42260736
30,13,11,6,5,known,271455660,12079440
30,14,7,6,7,known,310235040,48385920
30,15,8,7,8,known,310235040,48385920
30,14,8,7,6,known,310235040,51103360
30,15,9,6,9,known,310235040,51103360
30,14,9,8,5,known,310235040,46894848
30,15,10,5,10,known,310235040,46894848
32,6,5,1,1,impossible,37550331,2580612
32,7,4,3,1,known,134108325,25138080
32,9,6,1,3,known,1028163825,142602304
32,10,7,3,3,known,2261960415,277340352
32,11,6,5,3,open,4318288065,769531648
32,12,6,2,6,impossible,7197146775,1226675968
32,13,9,4,6,known,10518906825,1454652320
32,14,7,5,7,open,13524308775,1963979776
32,14,10,6,6,known,13524308775,1813587424
32,15,8,7,7,known,15327549945,2240254720
32,16,9,7,9,known,15327549945,2240254720
32,15,9,8,6,known,15327549945,2543956096
32,16,10,6,10,known,15327549945,2543956096
32,15,11,10,4,known,15327549945,2022772832
32,16,12,4,12,known,15327549945,2022772832
33,10,4,3,3,known,64512240,23063040
33,11,4,3,4,known,129024480,52715520
33,12,8,3,5,open,225792840,14414400
34,14,12,5,6,known,1637618400,87856496
34,15,9,6,7,known,2074316640,231981568
34,16,8,7,8,known,2333606220,236853760
34,17,9,8,9,known,2333606220,236853760
35,6,2,1,1,known,1344904,495040
35,8,4,1,2,known,18156204,2970240
35,12,8,4,4,open,548354040,27227200
35,14,6,5,6,known,1391975640,522762240
36,8,2,1,2,known,329501480,82595136
36,9,3,0,3,known,988504440,151279296
36,10,5,2,3,known,2570111544,340729536
36,11,5,4,3,known,5841162600,824484416
36,11,7,6,2,known,5841162600,574056576
36,12,6,0,6,known,11682325200,1822914240
36,12,5,2,5,known,11682325200,1688446464
36,13,11,2,6,known,20668729200,490509864
36,13,7,4,5,known,20668729200,2661870912
36,14,7,6,5,open,32479431600,4551708672
36,16,8,6,8,known,56839005300,8748200448
36,16,14,8,6,open,56839005300,1066404264
36,17,9,8,8,known,63525947100,9346095616
36,18,10,8,10,known,63525947100,9346095616
36,17,11,10,6,known,63525947100,7586913152
36,18,12,6,12,known,63525947100,7586913152
38,16,13,6,7,open,25751549340,2085166944
38,17,10,7,8,open,31810737420,3129209856
38,18,9,8,9,known,35345263800,3183870976
38,19,10,9,10,known,35345263800,3183870976
39,10,6,1,3,known,945467512,56434560
39,12,4,3,4,known,5414950296,2128389120
39,14,6,5,5,known,19339108200,6385167360
39,16,12,7,6,known,44479948860,620780160
40,6,3,0,1,impossible,45676722,6661248
40,8,2,0,2,known,861332472,216186496
40,9,3,2,2,known,2966811848,455483776
40,9,6,5,1,open,2966811848,249685120
40,10,3,1,3,known,8900435544,1257570304
40,11,4,3,3,known,23464784616,4548072448
40,15,6,5,6,known,351971769240,54235152384
40,15,12,3,7,open,351971769240,13475908480
40,15,9,8,4,known,351971769240,37877433728
40,16,8,4,8,known,527957653860,79772238336
40,17,11,6,8,known,714295649340,71903021184
40,18,9,7,9,open,873028015860,118210560000
40,18,12,8,8,open,873028015860,87876869632
40,18,15,9,7,open,873028015860,28465786368
40,19,10,9,9,known,964925701740,135577182208
40,20,11,9,11,known,964925701740,135577182208
40,19,11,10,8,known,964925701740,131596355072
40,20,12,8,12,known,964925701740,131596355072
40,19,14,13,5,known,964925701740,75108143360
40,20,15,5,15,known,964925701740,75108143360
42,6,1,0,1,known,26978328,5050112
42,11,6,5,2,known,18956771808,2189549824
42,12,4,2,4,known,47391929520,9269433856
42,12,9,4,3,open,47391929520,1845073440
42,13,5,4,4,known,105720458160,15246177792
42,14,7,0,7,known,211440916320,26217546752
42,14,5,4,5,known,211440916320,28800686080
42,15,9,4,6,open,380593649376,35756672896
42,17,9,8,6,known,909506882700,117666612480
42,18,9,6,9,known,1212675843600,170155888640
42,18,14,7,8,open,1212675843600,50414913920
42,19,11,8,9,open,1467976021200,184731328512
42,20,10,9,10,known,1614773623320,228146114560
42,21,11,10,11,known,1614773623320,228146114560
42,20,11,10,9,known,1614773623320,229178966016
42,21,12,9,12,known,1614773623320,229178966016
42,20,13,12,7,known,1614773623320,165534099456
42,21,14,7,14,known,1614773623320,165534099456
44,10,4,3,2,known,7669339132,1191926400
44,11,3,2,3,known,23008017396,2568549120
44,12,8,1,4,open,61354713056,4873028160
44,17,13,4,8,open,1684686595032,95065770240
44,20,10,8,10,known,3842267672880,501768644608
44,20,16,10,8,open,3842267672880,197414934240
44,21,11,10,10,known,4208197927440,517873620992
44,22,12,10,12,known,4208197927440,517873620992
45,8,4,3,1,known,354465254,35814240
45,9,2,1,2,known,1417861016,654888960
45,12,4,1,4,impossible,42181365226,14898723840
45,13,6,3,4,open,103831052864,19864965120
45,14,6,5,4,known,229911617056,59594895360
45,14,8,7,3,known,229911617056,17381844480
45,15,6,3,6,known,459823234112,145676410880
45,16,12,3,7,open,833429611828,4345461120
45,16,8,5,6,known,833429611828,163885962240
45,17,8,7,6,known,1372707595952,364191027200
45,18,8,6,8,open,2059061393928,655543848960
45,18,16,7,7,open,2059061393928,232792560
45,19,16,5,10,open,2817662960112,1862340480
45,20,12,11,7,open,3522078700140,491657886720
46,20,15,8,9,open,6339741660252,723961185024
46,21,12,9,10,open,7547311500300,553344788480
46,22,11,10,11,known,8233430727600,670231883776
46,23,12,11,12,known,8233430727600,670231883776
48,7,2,1,1,known,3270357948,835805760
48,9,5,0,2,open,70857755540,7777720720
48,10,6,2,2,known,269259471052,24398748080
48,11,5,4,2,known,905690948084,134771571200
48,12,4,0,4,known,2717072844252,490091802112
48,13,7,2,4,known,7315196119140,854889841152
48,14,8,4,4,known,17765476289340,1898231396096
48,15,5,4,5,known,39084047836548,4951030095872
48,15,7,6,4,known,39084047836548,5601654501888
48,16,8,0,8,known,78168095673096,11096893158912
48,16,6,4,6,known,78168095673096,11243643428864
48,17,7,6,6,known,142541821521528,19125330239488
48,17,12,11,3,impossible,142541821521528,7507033166976
48,18,9,3,9,impossible,237569702535880,32781088079872
48,19,14,5,9,open,362606388081080,16534903024128
48,19,13,8,7,open,362606388081080,25035422637568
48,20,10,6,10,open,507648943313512,70469466800128
48,20,17,7,9,open,507648943313512,6257624985776
48,21,13,8,10,known,652691498545944,74042140346880
48,21,18,9,9,open,652691498545944,7678211497024
48,22,11,9,11,open,771362680099752,96434728796160
48,22,14,10,10,known,771362680099752,86497098831360
48,22,17,11,9,open,771362680099752,31308976337856
48,23,12,11,11,known,838437695760600,105999913091072
48,24,13,11,13,known,838437695760600,105999913091072
48,23,13,12,10,known,838437695760600,113057197899776
48,24,14,10,14,known,838437695760600,113057197899776
48,23,14,13,9,known,838437695760600,108374154280960
48,24,15,9,15,known,838437695760600,108374154280960
48,23,15,14,8,known,838437695760600,92924417985024
48,24,16,8,16,known,838437695760600,92924417985024
48,23,17,16,6,known,838437695760600,51487894514560
48,24,18,6,18,known,838437695760600,51487894514560
49,13,8,7,2,open,385856498592,10543712256
49,15,12,1,6,impossible,2186520158688,1757285376
49,19,16,9,6,open,23083695792960,6589820160
49,20,12,11,6,open,33471358899792,3015501705216
49,21,12,5,12,impossible,44628478533056,6701114900480
49,22,18,7,12,open,54771314563296,57111774720
50,9,5,4,1,known,10272278170,1319449120
50,11,7,0,3,open,145679581320,16435531200
50,12,9,2,3,open,461318674180,30397700960
50,13,9,4,3,known,1312983918820,123318278160
50,14,7,6,3,open,3376244362680,289198694400
50,15,6,1,6,impossible,7877903512920,945883699200
50,16,10,3,6,known,16740544964955,1767518387712
50,17,12,5,6,open,32496351990795,3058041482496
50,18,12,7,6,known,57771292428080,5905144439040
50,19,10,9,6,open,94258424487920,8123485984768
50,19,13,12,4,open,94258424487920,9363822918912
50,20,12,2,12,impossible,141387636731880,11769036466176
50,20,10,5,10,known,141387636731880,13330032922624
50,21,14,7,10,open,195249593582120,18462058340352
50,22,16,9,10,known,248499482740880,23961336330624
50,23,13,10,11,known,291716784087120,22877388847104
50,23,16,11,10,open,291716784087120,27481931304960
50,24,12,11,12,known,316026516094380,30523403337728
50,25,13,12,13,known,316026516094380,30523403337728
50,24,14,13,10,known,316026516094380,25500328280064
50,25,15,10,15,known,316026516094380,25500328280064
51,15,10,5,4,open,2250829575120,26359280640
51,16,6,5,5,known,4923689695575,1522980659200
51,17,6,5,6,known,9847379391150,3322866892800
51,18,10,5,7,open,18053528883775,1713353241600
52,12,3,2,3,known,793766949500,84280807424
52,15,6,5,4,known,15943376157100,2317415755776
52,18,15,8,5,open,139504541374625,2185242707328
52,21,15,6,10,open,572283291533800,34457780388864
52,24,12,10,12,known,1147959567009500,133619907772416
52,24,18,12,10,open,1147959567009500,65845300781568
52,25,13,12,12,known,1239796332370260,138823615758336
52,26,14,12,14,known,1239796332370260,138823615758336
54,7,3,0,1,impossible,2312146200,304904160
54,8,3,2,1,known,13294840650,1815102432
54,10,4,1,2,open,292486494300,45391339136
54,11,4,3,2,open,1143356295900,194578205184
54,13,9,0,4,impossible,12620894497050,627884195840
54,14,12,2,4,open,36059698563000,276097387664
54,15,5,2,5,open,93755216263800,11272508239872
54,15,13,4,4,open,93755216263800,569971998704
54,16,7,4,5,open,222668638626525,24306802769920
54,16,12,6,4,known,222668638626525,7469964638400
54,17,7,6,5,open,484631742893025,56107167576064
54,17,9,8,4,known,484631742893025,41399972444160
54,17,11,10,3,known,484631742893025,30611836130304
54,18,9,0,9,known,969263485786050,93122815047680
54,18,8,2,8,impossible,969263485786050,129310528602112
54,18,7,4,7,known,969263485786050,112472925859840
54,19,13,4,8,open,1785485368553250,101702375689728
54,19,9,6,7,known,1785485368553250,191530554941440
54,20,16,6,8,known,3035325126540525,66481547457600
54,20,9,8,7,open,3035325126540525,347103198474240
54,21,17,8,8,known,4769796627420825,96394570335360
54,22,16,10,8,open,6937886003521200,353610187911552
54,23,22,9,10,open,9351063743876400,2870957535024
54,23,13,12,8,open,9351063743876400,884260127928320
54,24,16,4,16,impossible,11688829679845500,790957249505280
54,24,12,9,12,known,11688829679845500,1447870548234240
54,24,17,10,11,open,11688829679845500,692254047513600
54,25,14,11,12,known,13559042428620780,1520564301434880
54,26,13,12,13,known,14602045692360840,1652035591372800
54,27,14,13,14,known,14602045692360840,1652035591372800
54,26,14,13,12,known,14602045692360840,1747332651417600
54,27,15,12,15,known,14602045692360840,1747332651417600
54,26,17,16,9,known,14602045692360840,1112923611571200
54,27,18,9,18,known,14602045692360840,1112923611571200
55,10,2,1,2,known,47861426340,21596889600
55,14,6,5,3,known,6490745741340,1101441369600
55,16,12,1,6,open,42189847318710,56691835200
55,20,8,6,8,known,642774732679170,194387713228800
55,24,12,11,10,known,2805319123162920,712754948505600
55,26,22,9,15,open,3754811749464216,759327004800
56,7,1,0,1,known,2638060425,413204224
56,12,3,1,3,open,5703486638850,716152258560
56,13,4,3,3,known,18865378882350,3387658301440
56,13,7,6,2,known,18865378882350,1480446198272
56,14,4,2,4,known,56596136647050,9903565258752
56,15,5,4,4,known,154696106835270,18492537733120
56,16,13,3,5,open,386740267088175,6311484108320
56,19,10,9,5,open,3647491538615925,344770307391488
56,20,10,9,6,known,6565484769508665,720264379760640
56,21,9,6,9,known,10942474615847775,1224076080734208
56,23,16,7,11,open,24263748061227675,1281329365902336
56,24,12,8,12,known,32351664081636900,3880809800777728
56,25,15,10,12,open,40116063461229756,3369966940831744
56,26,13,11,13,open,46287765532188180,5204777614073856
56,26,16,12,12,open,46287765532188180,3915068344107008
56,26,19,13,11,open,46287765532188180,2326128789585920
56,27,14,13,13,known,49716488904942860,5728953825558528
56,28,15,13,15,known,49716488904942860,5728953825558528
56,27,15,14,12,known,49716488904942860,5579850294755328
56,28,16,12,16,known,49716488904942860,5579850294755328
56,27,20,19,7,known,49716488904942860,2490335367280640
56,28,21,7,21,known,49716488904942860,2490335367280640
57,16,8,3,5,open,83297903680530,7710089587200
57,18,6,5,6,known,424655979547800,139560409497600
57,20,8,7,7,known,1571227124326860,453571330867200
57,22,14,9,8,open,4285164884527800,123361433395200
58,25,23,10,11,open,19858944567035574,53020859131968
58,26,18,11,12,open,24441777928659168,2416697178255360
58,27,15,12,13,open,28062782066238304,1517905142906880
58,28,14,13,14,known,30067266499541040,2257022647664640
58,29,15,14,15,known,30067266499541040,2257022647664640
60,10,2,0,2,known,816768631965,203878380288
60,11,3,2,2,known,3638332996935,517767802112
60,12,3,0,3,known,14553331987740,1987187445760
60,13,5,2,3,known,52615892571060,6189780444672
60,14,5,4,3,known,172880789876340,21469386414080
60,15,5,0,5,known,518642369629020,65482640717824
60,15,4,3,4,known,518642369629020,92410546425856
60,16,9,2,5,open,1426266516479805,90161167681024
60,17,11,4,5,open,3607615306390095,149756693147264
60,18,6,4,6,known,8417769048243555,1308286777081856
60,18,11,6,5,open,8417769048243555,435629354099712
60,19,7,6,6,known,18164659525157145,2146090792468480
60,19,9,8,5,known,18164659525157145,1798971695882240
60,19,11,10,4,known,18164659525157145,1131879013588224
60,20,10,0,10,known,36329319050314290,3760399633588224
60,20,8,4,8,known,36329319050314290,5172373457305600
60,20,7,6,7,known,36329319050314290,4047558257770496
60,21,11,6,8,open,67468735379155110,5891352627781632
60,22,19,6,9,open,116536906563995190,318651140165600
60,22,12,8,8,open,116536906563995190,10356589827268608
60,23,11,10,8,known,187472414907296610,20726160686579712
60,23,14,13,6,known,187472414907296610,12104654830878720
60,24,12,6,12,known,281208622360944915,33268720092561408
60,24,10,9,10,open,281208622360944915,35410742081994752
60,25,17,8,12,open,393692071305322881,17785939224632832
60,26,20,10,12,known,514828093245422229,11478482241219840
60,27,21,12,12,open,629234336188849391,13632613801334528
60,28,14,12,14,known,719124955644399304,86008864327188480
60,28,20,14,12,open,719124955644399304,30728680274992128
60,29,15,14,14,known,768719780171599256,89819554193227776
60,30,16,14,16,known,768719780171599256,89819554193227776
60,29,17,16,12,known,768719780171599256,79574668017934336
60,30,18,12,18,known,768719780171599256,79574668017934336
60,29,19,18,10,known,768719780171599256,52881790173335552
60,30,20,10,20,known,768719780171599256,52881790173335552
62,27,24,11,12,open,315781937536156420,2110278848335840
62,28,19,12,13,open,383449495579618510,32286397503360000
62,29,16,13,14,open,436339081176807270,24685974809395200
62,30,15,14,15,known,465428353255261088,32718251012751360
62,31,16,15,16,known,465428353255261088,32718251012751360
63,8,2,1,1,known,13524394180,4712198400
63,11,8,1,2,known,2033085292368,2945124000
63,16,10,1,5,open,1093369811559060,10014364039680
63,16,8,4,4,open,1093369811559060,71531171712000
63,18,6,3,6,known,7396325195840700,2240443002470400
63,18,14,5,5,open,7396325195840700,1788279292800
63,19,8,5,6,open,17128332032473200,3360664503705600
63,20,8,7,6,known,36825913869817380,8961772009881600
63,20,10,9,5,open,36825913869817380,3696730954076160
63,21,8,5,8,open,73651827739634760,20681012330496000
63,22,14,5,9,open,137260224423864780,1980391582540800
63,22,10,7,8,known,137260224423864780,26885316029644800
63,23,10,9,8,open,238713433780634400,57906834525388800
63,24,18,9,9,open,387909329893530900,385076141049600
63,26,14,13,9,known,839077719738929916,116503036128460800
63,27,12,11,12,open,1118770292985239888,315454374747832320
64,13,6,1,3,open,2795071975719597,387556166891520
64,14,7,3,3,open,9982399913284275,1197378299774976
64,15,6,5,3,known,32609173050061965,4921833320785920
64,15,9,8,2,known,32609173050061965,2399569131335552
64,16,5,1,5,impossible,97827519150185895,12673640151937024
64,17,13,0,6,impossible,270464317650513945,4663480216122560
64,17,8,3,5,open,270464317650513945,35510192987343360
64,18,9,5,5,known,691186589551313415,83743660477002240
64,19,8,7,5,open,1637020869989952825,218948359346276352
64,22,18,10,6,open,14078379481913594295,125485450702266720
64,23,13,12,6,open,25096241685150320265,2656941606333087744
64,24,12,4,12,impossible,41827069475250533775,5072853606103908352
64,25,19,6,12,open,65250228381390832689,1603823477641798336
64,26,24,8,12,open,95365718403571217007,87797548783731716
64,27,18,9,13,open,130686354849338334417,9463045156753971200
64,27,18,17,7,open,130686354849338334417,9463045156753971200
64,28,14,10,14,open,168025313377720715679,17889228115178291200
64,29,17,12,14,open,202789171317938794785,23124696473935167488
64,29,27,14,12,open,202789171317938794785,162210032938322068
64,30,15,13,15,open,229827727493663967423,21047420390569672704
64,30,18,14,14,known,229827727493663967423,26053088978126159872
64,30,21,15,13,open,229827727493663967423,15630819005351080960
64,30,24,16,12,open,229827727493663967423,4694669712654618368
64,31,16,15,15,known,244655322815835836289,22494699576949407744
64,32,17,15,17,known,244655322815835836289,22494699576949407744
64,31,17,16,14,known,244655322815835836289,26264210457868533760
64,32,18,14,18,known,244655322815835836289,26264210457868533760
64,31,19,18,12,known,244655322815835836289,27649990596190470144
64,32,20,12,20,known,244655322815835836289,27649990596190470144
64,31,23,22,8,known,244655322815835836289,11994959056606456320
64,32,24,8,24,known,244655322815835836289,11994959056606456320
65,11,4,1,2,open,743595781824,129248870400
65,14,4,3,3,open,47855699958816,15259983298560
65,22,16,6,8,open,80347448443237920,90606150835200
65,25,10,9,10,open,401038568751465792,114710681726484480
65,28,16,12,12,open,1118770292985239888,116503036128460800
66,10,5,4,1,open,716055197312,66656237856
66,11,2,1,2,known,3580275986560,766660044800
66,17,15,2,5,open,7471588449452400,21932849324160
66,19,9,4,6,open,49286267666563200,3702791337895936
66,21,7,6,7,known,242910890642347200,23111958638100480
66,21,9,8,6,known,242910890642347200,22413291105587200
66,22,11,0,11,known,485821781284694400,35433419054272512
66,22,8,6,8,known,485821781284694400,58762455887708160
66,23,17,4,10,open,908275504140950400,37044274400033472
66,23,9,8,8,known,908275504140950400,89068110219509760
66,25,20,5,12,impossible,2606750696884527648,53536510824015648
66,25,15,10,9,open,2606750696884527648,148241975599038464
66,27,25,12,10,open,5792779326410061440,2926094225633280
66,29,25,12,13,open,10030354350902150720,67517430801933840
66,30,15,12,15,known,12036425221082580864,1178434502452838400
66,30,20,13,14,open,12036425221082580864,657502703479345152
66,31,17,14,15,open,13589512346383559040,1257679203943219200
66,31,26,17,12,open,13589512346383559040,211470967804561536
66,32,16,15,16,known,14438856868032531480,1390409166545879040
66,33,17,16,17,known,14438856868032531480,1390409166545879040
66,32,17,16,15,known,14438856868032531480,1429926848866222080
66,33,18,15,18,known,14438856868032531480,1429926848866222080
66,32,21,20,11,known,14438856868032531480,806969516417925120
66,33,22,11,22,known,14438856868032531480,806969516417925120
68,13,7,0,3,open,126858817408400,9206883687680
68,16,4,3,4,known,5618939476782060,932034928312320
68,19,7,6,5,known,120757909808035500,10625745040834560
68,22,16,9,6,open,1356252472753105200,51509706876517120
68,29,19,10,14,open,39432989811245830800,2006239406014300160
68,32,16,14,16,known,67067883477352788030,6472735182703820800
68,32,22,16,14,open,67067883477352788030,3377445561869729792
68,33,17,16,16,known,71132603688101441850,6651653182639308800
68,34,18,16,18,known,71132603688101441850,6651653182639308800
69,21,12,7,6,open,187692294101632320,4756028128051200
69,22,8,7,7,known,400978991944396320,110495694451507200
69,23,8,7,8,open,801957983888792640,235724148163215360
69,24,12,7,9,open,1503671219791486200,167585136584785920
69,25,20,7,10,open,2646461346833015712,178351054801920
70,9,3,2,1,open,226688299552,25914168448
70,11,5,0,2,open,7295241640128,598773072128
70,13,5,4,2,known,154603005527328,13514845310720
70,14,3,2,3,open,618412022109312,74381964666880
70,15,9,0,4,impossible,2267510747734144,145409365133760
70,18,12,6,4,open,68925657581859936,3682558802470912
70,20,6,5,6,open,462527439036165360,62813084341534720
70,22,20,4,8,open,2354685144184114560,1835687563241864
70,26,20,12,8,open,28093205066381243712,824320961073722112
70,27,12,11,10,open,44741030290903462208,4900793293321404416
70,28,14,7,14,known,67111545436355193312,6065704203374428160
70,28,12,10,12,known,67111545436355193312,7421481424953802752
70,29,20,9,14,open,94881840099674583648,4886689889726627840
70,29,13,12,12,known,94881840099674583648,9386877290788945920
70,30,15,10,15,known,126509120132899444864,11775558628636753920
70,30,24,11,14,open,126509120132899444864,3034248133100941120
70,31,19,12,15,open,159156635005905753216,7590886122540564480
70,31,26,13,14,open,159156635005905753216,1822755524089253600
70,32,21,14,15,open,188998504069513081944,8356995524387328000
70,32,26,15,14,open,188998504069513081944,4281760692339934720
70,33,18,15,16,known,211907413653696485816,19714108140621987840
70,33,21,16,15,open,211907413653696485816,9910216131412746240
70,33,24,17,14,open,211907413653696485816,10775153322620610560
70,34,17,16,17,known,224372555633325690864,22132104926016307200
70,35,18,17,18,known,224372555633325690864,22132104926016307200
70,34,19,18,15,known,224372555633325690864,20480842591718277120
70,35,20,15,20,known,224372555633325690864,20480842591718277120
70,34,20,19,14,known,224372555633325690864,16937032433353359360
70,35,21,14,21,known,224372555633325690864,16937032433353359360
72,8,1,0,1,known,531956282000,82050553472
72,11,6,5,1,known,128027369178800,9058923336064
72,14,11,1,3,open,12035979596974000,116719733644992
72,15,12,3,3,open,45736722468501200,345879427992576
72,15,8,7,2,known,45736722468501200,3179208433399680
72,16,4,2,4,known,160078528639754200,26293186558115840
72,16,11,5,3,open,160078528639754200,4222558353265728
72,17,5,4,4,known,517901122069793000,58124253562847232
72,17,8,7,3,known,517901122069793000,49496139661378560
72,18,6,0,6,known,1553703366209379000,229143742577885184
72,18,5,3,5,open,1553703366209379000,160108464321003520
72,19,11,2,6,known,4334014653110373000,231578707241664000
72,19,6,5,5,known,4334014653110373000,625674629717688320
72,20,14,4,6,known,11268438098086969800,278741223383123200
72,21,7,4,7,open,27366206809639783800,2771257077389393920
72,21,15,6,6,known,27366206809639783800,605246824336428288
72,22,9,6,7,known,62195924567363145000,6497037824649461760
72,22,14,8,6,open,62195924567363145000,2551806650197117440
72,23,9,8,7,open,132504361034817135000,13680427458112552960
72,23,11,10,6,known,132504361034817135000,12219632303850143744
72,23,15,14,4,known,132504361034817135000,4979333235553006080
72,24,12,0,12,known,265008722069634270000,25215335330028699648
72,24,10,4,10,known,265008722069634270000,32033837167706275840
72,24,9,6,9,known,265008722069634270000,26014319334915768320
72,25,15,6,10,open,498216397490912427600,27249740301816389632
72,25,11,8,9,known,498216397490912427600,50491950899171328000
72,26,18,8,10,open,881459780176229679600,27632996332206944000
72,26,11,10,9,known,881459780176229679600,88237993536527532032
72,27,19,10,10,open,1469099633627049466000,43639783976017160960
72,28,18,12,10,open,2308585138556792018000,109945526730392139776
72,29,15,14,10,open,3423074515791105406000,323994247768256020480
72,30,15,9,15,open,4792304322107547568400,474655517041348313088
72,31,20,11,15,open,6338208942142240332400,344624027705297829888
72,31,16,15,12,known,6338208942142240332400,661409163093053669376
72,32,16,12,16,known,7922761177677800415500,831763886163931299840
72,32,23,13,15,open,7922761177677800415500,262450499616776314880
72,33,19,14,16,known,9363263209982855036500,846452691401436364800
72,33,24,15,15,open,9363263209982855036500,305999930797071964160
72,34,17,15,17,open,10464823587627896805500,1000946372360601600000
72,34,20,16,16,known,10464823587627896805500,954937959044797562880
72,34,23,17,15,open,10464823587627896805500,536948004307757236224
72,35,18,17,17,known,11062813506920919480100,1079603837363337297920
72,36,19,17,19,known,11062813506920919480100,1079603837363337297920
72,35,19,18,16,known,11062813506920919480100,1118011082038168125440
72,36,20,16,20,known,11062813506920919480100,1118011082038168125440
72,35,20,19,15,known,11062813506920919480100,1096717051594542940160
72,36,21,15,21,known,11062813506920919480100,1096717051594542940160
72,35,23,22,12,known,11062813506920919480100,706435844393766256640
72,36,24,12,24,known,11062813506920919480100,706435844393766256640
72,35,26,25,9,known,11062813506920919480100,355894982614672035840
72,36,27,9,27,known,11062813506920919480100,355894982614672035840
74,33,27,14,15,open,1261879780299227847996,43414401272118127104
74,34,22,15,16,open,1484564447410856291760,68341062979087761408
74,35,19,16,17,open,1654228955686382725104,81030930606642954240
74,36,18,17,18,known,1746130564335626209832,115671236848621977600
74,37,19,18,19,known,1746130564335626209832,115671236848621977600
75,12,8,1,2,open,65832201319248,129722947200
75,13,8,3,2,open,313968960137952,1504786187520
75,14,6,5,2,known,1368007612029648,108344605501440
75,16,8,1,4,open,20178112277437308,704239935759360
75,17,10,3,4,open,68842971299491992,563391948607488
75,18,10,5,4,known,218002742448391308,3521199678796800
75,19,8,7,4,open,642534398795258592,78533423139225600
75,20,16,3,6,open,1766969596686961128,44014995984960
75,22,10,5,7,open,10946032436619226728,1209414716344074240
75,24,8,7,8,known,52588547141148893628,15150909633321369600
75,24,14,13,5,known,52588547141148893628,950254419984629760
75,25,10,5,10,known,105177094282297787256,24241455413314191360
75,26,14,7,10,open,198218369993561214444,10942323624065433600
75,26,10,9,9,known,198218369993561214444,51513092753292656640
75,27,16,9,10,open,352388213321886603456,8206742718049075200
75,28,16,11,10,known,591508786647452512944,24620228154147225600
75,28,24,14,8,open,591508786647452512944,1124827675171200
75,29,14,13,10,known,938255316751131572256,156992282676701429760
75,29,20,19,6,open,938255316751131572256,2507615830514995200
75,30,18,3,18,impossible,1407382975126697358384,46504875402278092800
75,30,16,6,16,impossible,1407382975126697358384,147180265009407590400
75,30,14,9,14,open,1407382975126697358384,294360530018815180800
75,30,26,13,11,open,1407382975126697358384,1817029321430400
75,31,18,11,14,open,1997575835663699476416,114473539451761459200
75,32,20,13,14,known,2684242529173096171434,74407800643644948480
75,33,20,15,14,open,3416308673493031490916,171710309177642188800
75,34,18,17,14,open,4119666341565126209634,744078006436449484800
75,36,30,13,21,impossible,5100539280033013402404,134148679045032960
76,17,13,6,3,open,118694778102572400,2798989999411200
76,18,6,5,4,open,382460951663844400,49812037922390016
76,19,5,4,5,open,1147382854991533200,95132267521966080
76,20,10,3,6,open,3212671993976292960,141229608934182912
76,33,21,12,16,open,8134068270221503549800,229131901578391977984
76,36,18,16,18,known,13078305846238495903600,1283915652299119656960
76,36,24,18,16,open,13078305846238495903600,379999624847293022208
76,37,19,18,18,known,13785241297386522709200,1307050693858744074240
76,38,20,18,20,known,13785241297386522709200,1307050693858744074240
77,13,4,3,2,open,152724276564800,33885555630080
77,21,6,5,6,open,2906703232645217440,897831681974599680
77,26,16,10,8,open,153720368566435227528,1504569498308997120
77,29,16,9,12,open,824553701122641067200,47977880505517670400
77,34,16,15,15,open,4545508739241428454300,1108822127238630604800
77,37,34,15,20,open,6715886785906254653200,306231365563200
78,12,2,1,2,known,220495674290430,51092199337984
78,17,7,6,3,known,294322814176378680,23744778231263232
78,19,13,0,6,impossible,3046499304632691600,94995455123261952
78,23,21,8,6,open,145967053639357658400,39675092194886208
78,24,8,6,8,known,328425870688554731400,42354175949946814464
78,24,13,8,7,open,328425870688554731400,15980111772258017280
78,25,9,8,8,known,696262845859736030568,66482396065044037632
78,26,13,0,13,known,1392525691719472061136,93047374848188350464
78,26,9,8,9,known,1392525691719472061136,123733449126697107456
