n,k,t,lambda,mu,num_nonabelian_groups
36,16,8,6,8,10
36,16,14,8,6,10
36,17,9,8,8,10
36,17,11,10,6,10
38,16,13,6,7,1
38,17,10,7,8,1
38,18,9,8,9,1
39,10,6,1,3,1
39,12,4,3,4,1
39,14,6,5,5,1
39,16,12,7,6,1
40,6,3,0,1,11
40,8,2,0,2,11
40,9,3,2,2,11
40,9,6,5,1,11
40,10,3,1,3,11
40,11,4,3,3,11
40,15,6,5,6,11
40,15,12,3,7,11
40,15,9,8,4,11
40,16,8,4,8,11
40,17,11,6,8,11
40,18,9,7,9,11
40,18,12,8,8,11
40,18,15,9,7,11
40,19,10,9,9,11
40,19,11,10,8,11
40,19,14,13,5,11
