n,k,t,lambda,mu
6,2,1,0,1
8,3,2,1,1
10,4,2,1,2
12,3,1,0,1
12,4,2,0,2
12,5,3,2,2
14,6,3,2,3
15,4,2,1,1
15,5,2,1,2
16,7,4,3,3
16,8,5,4,2
16,8,6,2,6
18,4,3,0,1
18,5,3,2,1
18,6,3,0,3
18,7,5,2,3
18,8,4,3,4
18,9,5,4,3
18,9,6,3,6
20,4,1,0,1
20,7,4,3,2
20,8,4,2,4
20,9,5,4,4
20,10,6,4,6
