n,k,lambda,mu
5,2,0,1
9,4,1,2
10,3,0,1
13,6,2,3
15,6,1,3
16,5,0,2
16,6,2,2
17,8,3,4
21,10,3,6
21,10,4,5
25,8,3,2
25,12,5,6
26,10,3,4
27,10,1,5
28,9,0,4
28,12,6,4
29,14,6,7
33,16,7,8
35,16,6,8
36,10,4,2
36,14,4,6
36,14,7,4
36,15,6,6
37,18,8,9
40,12,2,4
41,20,9,10
45,12,3,3
45,16,8,4
45,22,10,11
49,12,5,2
49,16,3,6
49,18,7,6
49,24,11,12
50,7,0,1
50,21,4,12
50,21,8,9
