n,k,t,lambda,mu,lib_id,method,outcome,num_dpds
6,2,1,0,1,1,exhaustive,found,6
8,3,2,1,1,3,exhaustive,found,8
10,4,2,1,2,1,exhaustive,found,20
12,4,2,0,2,1,exhaustive,found,6
12,5,3,2,2,1,exhaustive,found,6
12,3,1,0,1,3,exhaustive,found,12
12,5,3,2,2,3,exhaustive,found,24
12,4,2,0,2,4,exhaustive,found,6
12,5,3,2,2,4,exhaustive,found,18
14,6,3,2,3,1,exhaustive,found,70
16,7,5,4,2,3,exhaustive,found,16
16,7,5,4,2,4,exhaustive,found,8
16,7,4,3,3,7,exhaustive,found,32
16,7,5,4,2,7,exhaustive,found,8
16,7,4,3,3,8,exhaustive,found,32
16,7,5,4,2,8,exhaustive,found,8
16,7,5,4,2,9,exhaustive,found,8
16,7,5,4,2,11,exhaustive,found,16
18,6,3,0,3,1,exhaustive,found,6
18,8,4,3,4,1,exhaustive,found,234
18,8,5,4,3,1,exhaustive,found,6
18,4,3,0,1,3,exhaustive,found,12
18,5,3,2,1,3,exhaustive,found,12
18,6,3,0,3,3,exhaustive,found,6
18,7,5,2,3,3,exhaustive,found,24
18,8,5,4,3,3,exhaustive,found,6
18,4,3,0,1,4,exhaustive,found,144
18,6,3,0,3,4,exhaustive,found,24
18,8,4,3,4,4,exhaustive,found,288
18,8,5,4,3,4,exhaustive,found,24
20,8,4,2,4,1,exhaustive,found,20
20,9,5,4,4,1,exhaustive,found,20
20,4,1,0,1,3,exhaustive,found,20
20,7,4,3,2,3,exhaustive,found,40
20,8,4,2,4,3,exhaustive,found,60
20,9,5,4,4,3,exhaustive,found,60
20,8,4,2,4,4,exhaustive,found,20
20,9,5,4,4,4,exhaustive,found,60
21,6,2,1,2,1,exhaustive,found,126
21,8,4,3,3,1,exhaustive,found,84
22,10,5,4,5,1,exhaustive,found,594
24,8,4,0,4,1,exhaustive,found,6
24,11,7,6,4,1,exhaustive,found,6
24,6,2,0,2,3,exhaustive,found,12
24,7,3,2,2,3,exhaustive,found,12
24,11,7,6,4,3,exhaustive,found,24
24,8,4,0,4,4,exhaustive,found,6
24,11,7,6,4,4,exhaustive,found,18
24,8,4,0,4,5,exhaustive,found,6
24,11,7,6,4,5,exhaustive,found,18
24,8,4,0,4,6,exhaustive,found,6
24,11,6,5,5,6,exhaustive,found,144
24,11,7,6,4,6,exhaustive,found,18
24,11,8,7,3,6,exhaustive,found,8
24,8,4,0,4,7,exhaustive,found,6
24,11,7,6,4,7,exhaustive,found,18
24,8,4,0,4,8,exhaustive,found,6
24,11,6,5,5,8,exhaustive,found,96
24,11,7,6,4,8,exhaustive,found,18
24,11,8,7,3,8,exhaustive,found,8
24,11,8,7,3,10,exhaustive,found,8
24,5,2,1,1,12,exhaustive,found,96
24,6,2,0,2,12,exhaustive,found,12
24,7,3,2,2,12,exhaustive,found,228
24,8,3,2,3,12,exhaustive,found,192
24,8,4,0,4,12,exhaustive,found,6
24,9,7,2,4,12,exhaustive,found,24
24,10,8,4,4,12,exhaustive,found,72
24,11,6,5,5,12,exhaustive,found,144
24,11,7,6,4,12,exhaustive,found,54
24,6,2,0,2,13,exhaustive,found,12
24,7,3,2,2,13,exhaustive,found,12
24,9,7,2,4,13,exhaustive,found,24
24,10,8,4,4,13,exhaustive,found,72
24,11,7,6,4,13,exhaustive,found,48
24,8,4,0,4,14,exhaustive,found,6
24,11,7,6,4,14,exhaustive,found,42
26,12,6,5,6,1,exhaustive,found,1560
27,8,4,3,2,3,exhaustive,found,108
27,10,6,3,4,3,exhaustive,found,324
27,8,4,3,2,4,exhaustive,found,54
27,10,6,3,4,4,exhaustive,found,108
28,12,6,4,6,1,exhaustive,found,70
28,13,7,6,6,1,exhaustive,found,70
28,12,6,4,6,3,exhaustive,found,70
28,13,7,6,6,3,exhaustive,found,210
30,10,5,0,5,1,exhaustive,found,6
30,14,9,8,5,1,exhaustive,found,6
30,12,6,3,6,2,exhaustive,found,20
30,14,8,7,6,2,exhaustive,found,20
30,10,5,0,5,3,exhaustive,found,6
30,12,6,3,6,3,exhaustive,found,20
30,14,7,6,7,3,exhaustive,found,3720
30,14,8,7,6,3,exhaustive,found,20
30,14,9,8,5,3,exhaustive,found,6
32,13,9,4,6,2,exhaustive,found,384
32,14,10,6,6,2,exhaustive,found,384
32,15,11,10,4,2,exhaustive,found,24
32,13,9,4,6,4,exhaustive,found,160
32,14,10,6,6,4,exhaustive,found,352
32,13,9,4,6,5,exhaustive,found,256
32,14,10,6,6,5,exhaustive,found,256
32,15,11,10,4,5,exhaustive,found,16
32,7,4,3,1,6,exhaustive,found,64
32,9,6,1,3,6,exhaustive,found,256
32,10,7,3,3,6,exhaustive,found,256
32,13,9,4,6,6,exhaustive,found,1152
32,14,10,6,6,6,exhaustive,found,1920
32,15,9,8,6,6,exhaustive,found,160
32,15,11,10,4,6,exhaustive,found,16
32,9,6,1,3,7,exhaustive,found,128
32,10,7,3,3,7,exhaustive,found,384
32,13,9,4,6,7,exhaustive,found,960
32,14,10,6,6,7,exhaustive,found,1088
32,15,9,8,6,7,exhaustive,found,128
32,15,11,10,4,7,exhaustive,found,16
32,13,9,4,6,8,exhaustive,found,64
32,14,10,6,6,8,exhaustive,found,192
32,15,11,10,4,8,exhaustive,found,16
32,13,9,4,6,9,exhaustive,found,448
32,14,10,6,6,9,exhaustive,found,576
32,15,9,8,6,9,exhaustive,found,64
32,15,11,10,4,9,exhaustive,found,16
32,13,9,4,6,10,exhaustive,found,64
32,14,10,6,6,10,exhaustive,found,64
32,15,9,8,6,10,exhaustive,found,32
32,15,11,10,4,10,exhaustive,found,16
32,7,4,3,1,11,exhaustive,found,32
32,9,6,1,3,11,exhaustive,found,96
32,10,7,3,3,11,exhaustive,found,96
32,13,9,4,6,11,exhaustive,found,160
32,14,10,6,6,11,exhaustive,found,288
32,15,11,10,4,11,exhaustive,found,16
32,13,9,4,6,12,exhaustive,found,64
32,14,10,6,6,12,exhaustive,found,128
32,15,11,10,4,12,exhaustive,found,8
32,13,9,4,6,13,exhaustive,found,128
32,14,10,6,6,13,exhaustive,found,128
32,15,9,8,6,13,exhaustive,found,64
32,15,11,10,4,13,exhaustive,found,8
32,13,9,4,6,14,exhaustive,found,128
32,14,10,6,6,14,exhaustive,found,128
32,15,9,8,6,14,exhaustive,found,32
32,15,11,10,4,14,exhaustive,found,8
32,15,11,10,4,15,exhaustive,found,8
32,15,8,7,7,18,exhaustive,found,384
32,15,9,8,6,18,exhaustive,found,32
32,15,11,10,4,18,exhaustive,found,8
32,15,8,7,7,19,exhaustive,found,256
32,15,9,8,6,19,exhaustive,found,32
32,15,11,10,4,19,exhaustive,found,8
32,15,9,8,6,20,exhaustive,found,32
32,15,11,10,4,20,exhaustive,found,8
32,13,9,4,6,22,exhaustive,found,2048
32,14,10,6,6,22,exhaustive,found,4096
32,15,11,10,4,22,exhaustive,found,32
32,13,9,4,6,23,exhaustive,found,256
32,14,10,6,6,23,exhaustive,found,256
32,15,11,10,4,23,exhaustive,found,16
32,13,9,4,6,24,exhaustive,found,384
32,14,10,6,6,24,exhaustive,found,640
32,13,9,4,6,25,exhaustive,found,512
32,14,10,6,6,25,exhaustive,found,576
32,15,11,10,4,25,exhaustive,found,16
32,13,9,4,6,26,exhaustive,found,192
32,14,10,6,6,26,exhaustive,found,384
32,7,4,3,1,27,exhaustive,found,128
32,9,6,1,3,27,exhaustive,found,768
32,10,7,3,3,27,exhaustive,found,2304
32,13,9,4,6,27,exhaustive,found,3648
32,14,10,6,6,27,exhaustive,found,7872
32,15,11,10,4,27,exhaustive,found,48
32,13,9,4,6,28,exhaustive,found,1344
32,14,10,6,6,28,exhaustive,found,2112
32,15,11,10,4,28,exhaustive,found,32
32,13,9,4,6,29,exhaustive,found,384
32,14,10,6,6,29,exhaustive,found,384
32,15,11,10,4,29,exhaustive,found,16
32,13,9,4,6,30,exhaustive,found,832
32,14,10,6,6,30,exhaustive,found,1344
32,15,11,10,4,30,exhaustive,found,16
32,13,9,4,6,31,exhaustive,found,768
32,14,10,6,6,31,exhaustive,found,1152
32,15,11,10,4,31,exhaustive,found,16
32,13,9,4,6,32,exhaustive,found,384
32,14,10,6,6,32,exhaustive,found,512
32,13,9,4,6,33,exhaustive,found,576
32,14,10,6,6,33,exhaustive,found,960
32,9,6,1,3,34,exhaustive,found,512
32,10,7,3,3,34,exhaustive,found,1536
32,13,9,4,6,34,exhaustive,found,1920
32,14,10,6,6,34,exhaustive,found,2688
32,15,11,10,4,34,exhaustive,found,48
32,15,11,10,4,35,exhaustive,found,16
32,13,9,4,6,37,exhaustive,found,128
32,14,10,6,6,37,exhaustive,found,128
32,13,9,4,6,39,exhaustive,found,640
32,14,10,6,6,39,exhaustive,found,896
32,15,9,8,6,39,exhaustive,found,64
32,15,11,10,4,39,exhaustive,found,16
32,13,9,4,6,40,exhaustive,found,512
32,14,10,6,6,40,exhaustive,found,1024
32,15,9,8,6,40,exhaustive,found,64
32,15,11,10,4,40,exhaustive,found,16
32,15,11,10,4,41,exhaustive,found,16
32,15,11,10,4,42,exhaustive,found,16
32,7,4,3,1,43,exhaustive,found,64
32,9,6,1,3,43,exhaustive,found,192
32,10,7,3,3,43,exhaustive,found,320
32,13,9,4,6,43,exhaustive,found,384
32,14,10,6,6,43,exhaustive,found,384
32,15,9,8,6,43,exhaustive,found,128
32,15,11,10,4,43,exhaustive,found,16
32,15,11,10,4,44,exhaustive,found,16
32,13,9,4,6,46,exhaustive,found,3072
32,14,10,6,6,46,exhaustive,found,6144
32,15,11,10,4,46,exhaustive,found,32
32,13,9,4,6,48,exhaustive,found,384
32,14,10,6,6,48,exhaustive,found,384
32,13,9,4,6,49,exhaustive,found,2880
32,14,10,6,6,49,exhaustive,found,4032
32,15,9,8,6,49,exhaustive,found,192
34,16,8,7,8,1,exhaustive,found,8976
36,12,6,0,6,1,exhaustive,found,6
36,16,8,6,8,1,exhaustive,found,234
36,17,9,8,8,1,exhaustive,found,234
36,17,11,10,6,1,exhaustive,found,6
36,9,3,0,3,3,exhaustive,found,12
36,11,5,4,3,3,exhaustive,found,12
36,17,11,10,6,3,exhaustive,found,24
36,12,6,0,6,4,exhaustive,found,6
36,16,8,6,8,4,exhaustive,found,234
36,17,9,8,8,4,exhaustive,found,702
36,17,11,10,6,4,exhaustive,found,18
36,11,7,6,2,6,exhaustive,found,12
36,12,6,0,6,6,exhaustive,found,6
36,17,11,10,6,6,exhaustive,found,6
36,12,6,0,6,7,exhaustive,found,24
36,16,8,6,8,7,exhaustive,found,288
36,17,9,8,8,7,exhaustive,found,288
36,17,11,10,6,7,exhaustive,found,24
36,8,2,1,2,9,exhaustive,found,288
36,10,5,2,3,9,exhaustive,found,576
36,11,5,4,3,9,exhaustive,found,288
36,11,7,6,2,9,exhaustive,found,72
36,12,5,2,5,9,exhaustive,found,144
36,13,7,4,5,9,exhaustive,found,1440
36,16,8,6,8,9,exhaustive,found,648
36,17,9,8,8,9,exhaustive,found,648
36,10,5,2,3,10,exhaustive,found,720
36,11,5,4,3,10,exhaustive,found,144
36,11,7,6,2,10,exhaustive,found,36
36,12,5,2,5,10,exhaustive,found,72
36,12,6,0,6,10,exhaustive,found,12
36,13,7,4,5,10,exhaustive,found,2160
36,16,8,6,8,10,exhaustive,found,396
36,17,9,8,8,10,exhaustive,found,1188
36,17,11,10,6,10,exhaustive,found,36
36,9,3,0,3,11,exhaustive,found,12
36,11,5,4,3,11,exhaustive,found,156
36,13,7,4,5,11,exhaustive,found,792
36,13,11,2,6,11,exhaustive,found,36
36,17,11,10,6,11,exhaustive,found,24
36,11,7,6,2,12,exhaustive,found,12
36,12,6,0,6,12,exhaustive,found,6
36,17,11,10,6,12,exhaustive,found,18
36,12,6,0,6,13,exhaustive,found,24
36,16,8,6,8,13,exhaustive,found,288
36,17,9,8,8,13,exhaustive,found,864
36,17,11,10,6,13,exhaustive,found,72
38,18,9,8,9,1,exhaustive,found,20026
39,10,6,1,3,1,exhaustive,found,78
39,12,4,3,4,1,exhaustive,found,2184
39,14,6,5,5,1,exhaustive,found,2106
39,16,12,7,6,1,exhaustive,found,312
40,16,8,4,8,1,ilp,found,1
40,17,11,6,8,1,ilp,infeasible_proof,0
40,18,9,7,9,1,ilp,infeasible_proof,0
40,18,12,8,8,1,ilp,infeasible_proof,0
40,18,15,9,7,1,ilp,infeasible_proof,0
40,19,10,9,9,1,ilp,infeasible_proof,0
40,19,11,10,8,1,ilp,found,1
40,19,14,13,5,1,ilp,infeasible_proof,0
40,8,2,0,2,3,exhaustive,found,20
40,9,3,2,2,3,exhaustive,found,20
40,15,9,8,4,3,exhaustive,found,40
40,16,8,4,8,3,ilp,found,1
40,17,11,6,8,3,ilp,infeasible_proof,0
40,18,9,7,9,3,ilp,infeasible_proof,0
40,18,12,8,8,3,ilp,infeasible_proof,0
40,18,15,9,7,3,ilp,infeasible_proof,0
40,19,10,9,9,3,ilp,infeasible_proof,0
40,19,11,10,8,3,ilp,found,1
40,19,14,13,5,3,ilp,infeasible_proof,0
40,16,8,4,8,4,ilp,found,1
40,17,11,6,8,4,ilp,infeasible_proof,0
40,18,9,7,9,4,ilp,infeasible_proof,0
40,18,12,8,8,4,ilp,infeasible_proof,0
40,18,15,9,7,4,ilp,infeasible_proof,0
40,19,10,9,9,4,ilp,infeasible_proof,0
40,19,11,10,8,4,ilp,found,1
40,19,14,13,5,4,ilp,infeasible_proof,0
40,16,8,4,8,5,ilp,found,1
40,17,11,6,8,5,ilp,infeasible_proof,0
40,18,9,7,9,5,ilp,infeasible_proof,0
40,18,12,8,8,5,ilp,infeasible_proof,0
40,18,15,9,7,5,ilp,infeasible_proof,0
40,19,10,9,9,5,ilp,infeasible_proof,0
40,19,11,10,8,5,ilp,found,1
40,19,14,13,5,5,ilp,infeasible_proof,0
40,16,8,4,8,6,ilp,found,1
40,17,11,6,8,6,ilp,infeasible_proof,0
40,18,9,7,9,6,ilp,infeasible_proof,0
40,18,12,8,8,6,ilp,infeasible_proof,0
40,18,15,9,7,6,ilp,infeasible_proof,0
40,19,10,9,9,6,ilp,found,1
40,19,11,10,8,6,ilp,found,1
40,19,14,13,5,6,ilp,found,1
40,16,8,4,8,7,ilp,found,1
40,17,11,6,8,7,ilp,infeasible_proof,0
40,18,9,7,9,7,ilp,infeasible_proof,0
40,18,12,8,8,7,ilp,infeasible_proof,0
40,18,15,9,7,7,ilp,infeasible_proof,0
40,19,10,9,9,7,ilp,infeasible_proof,0
40,19,11,10,8,7,ilp,found,1
40,19,14,13,5,7,ilp,infeasible_proof,0
40,16,8,4,8,8,ilp,found,1
40,17,11,6,8,8,ilp,infeasible_proof,0
40,18,9,7,9,8,ilp,infeasible_proof,0
40,18,12,8,8,8,ilp,infeasible_proof,0
40,18,15,9,7,8,ilp,infeasible_proof,0
40,19,10,9,9,8,ilp,found,1
40,19,11,10,8,8,ilp,found,1
40,19,14,13,5,8,ilp,found,1
40,16,8,4,8,10,ilp,infeasible_proof,0
40,17,11,6,8,10,ilp,infeasible_proof,0
40,18,9,7,9,10,ilp,infeasible_proof,0
40,18,12,8,8,10,ilp,infeasible_proof,0
40,18,15,9,7,10,ilp,infeasible_proof,0
40,19,10,9,9,10,ilp,infeasible_proof,0
40,19,11,10,8,10,ilp,infeasible_proof,0
40,19,14,13,5,10,ilp,found,1
40,16,8,4,8,11,ilp,infeasible_proof,0
40,17,11,6,8,11,ilp,infeasible_proof,0
40,18,9,7,9,11,ilp,infeasible_proof,0
40,18,12,8,8,11,ilp,infeasible_proof,0
40,18,15,9,7,11,ilp,infeasible_proof,0
40,19,10,9,9,11,ilp,infeasible_proof,0
40,19,11,10,8,11,ilp,infeasible_proof,0
40,19,14,13,5,11,ilp,infeasible_proof,0
40,8,2,0,2,12,exhaustive,found,20
40,9,3,2,2,12,exhaustive,found,340
40,15,9,8,4,12,exhaustive,found,40
40,16,8,4,8,12,ilp,found,1
40,17,11,6,8,12,ilp,infeasible_proof,0
40,18,9,7,9,12,ilp,infeasible_proof,0
40,18,12,8,8,12,ilp,infeasible_proof,0
40,18,15,9,7,12,ilp,infeasible_proof,0
40,19,10,9,9,12,ilp,infeasible_proof,0
40,19,11,10,8,12,ilp,found,1
40,19,14,13,5,12,ilp,infeasible_proof,0
40,16,8,4,8,13,ilp,found,1
40,17,11,6,8,13,ilp,infeasible_proof,0
40,18,9,7,9,13,ilp,infeasible_proof,0
40,18,12,8,8,13,ilp,infeasible_proof,0
40,18,15,9,7,13,ilp,infeasible_proof,0
40,19,10,9,9,13,ilp,infeasible_proof,0
40,19,11,10,8,13,ilp,found,1
40,19,14,13,5,13,ilp,infeasible_proof,0
42,6,1,0,1,1,exhaustive,found,42
42,11,6,5,2,1,exhaustive,found,84
42,12,4,2,4,1,exhaustive,found,210
42,12,9,4,3,1,exhaustive,empty_proof,0
42,13,5,4,4,1,exhaustive,found,588
42,14,5,4,5,1,exhaustive,empty_proof,0
42,14,7,0,7,1,exhaustive,empty_proof,0
42,15,9,4,6,1,exhaustive,empty_proof,0
42,17,9,8,6,1,exhaustive,found,210
42,18,9,6,9,1,exhaustive,found,280
42,18,14,7,8,1,exhaustive,empty_proof,0
42,19,11,8,9,1,exhaustive,empty_proof,0
42,20,10,9,10,1,exhaustive,empty_proof,0
42,20,11,10,9,1,exhaustive,found,280
42,20,13,12,7,1,exhaustive,empty_proof,0
42,6,1,0,1,2,exhaustive,empty_proof,0
42,11,6,5,2,2,exhaustive,empty_proof,0
42,12,4,2,4,2,exhaustive,found,126
42,12,9,4,3,2,exhaustive,empty_proof,0
42,13,5,4,4,2,exhaustive,found,126
42,14,5,4,5,2,exhaustive,empty_proof,0
42,14,7,0,7,2,exhaustive,empty_proof,0
42,15,9,4,6,2,exhaustive,empty_proof,0
42,17,9,8,6,2,exhaustive,found,84
42,18,9,6,9,2,exhaustive,empty_proof,0
42,18,14,7,8,2,exhaustive,empty_proof,0
42,19,11,8,9,2,exhaustive,empty_proof,0
42,20,10,9,10,2,exhaustive,empty_proof,0
42,20,11,10,9,2,exhaustive,empty_proof,0
42,20,13,12,7,2,exhaustive,empty_proof,0
42,6,1,0,1,3,exhaustive,empty_proof,0
42,11,6,5,2,3,exhaustive,empty_proof,0
42,12,4,2,4,3,exhaustive,empty_proof,0
42,12,9,4,3,3,exhaustive,empty_proof,0
42,13,5,4,4,3,exhaustive,empty_proof,0
42,14,5,4,5,3,exhaustive,empty_proof,0
42,14,7,0,7,3,exhaustive,found,6
42,15,9,4,6,3,exhaustive,empty_proof,0
42,17,9,8,6,3,exhaustive,empty_proof,0
42,18,9,6,9,3,exhaustive,empty_proof,0
42,18,14,7,8,3,exhaustive,empty_proof,0
42,19,11,8,9,3,exhaustive,empty_proof,0
42,20,10,9,10,3,exhaustive,empty_proof,0
42,20,11,10,9,3,exhaustive,empty_proof,0
42,20,13,12,7,3,exhaustive,found,6
42,6,1,0,1,4,exhaustive,empty_proof,0
42,11,6,5,2,4,exhaustive,empty_proof,0
42,12,4,2,4,4,exhaustive,empty_proof,0
42,12,9,4,3,4,exhaustive,empty_proof,0
42,13,5,4,4,4,exhaustive,empty_proof,0
42,14,5,4,5,4,exhaustive,empty_proof,0
42,14,7,0,7,4,exhaustive,empty_proof,0
42,15,9,4,6,4,exhaustive,empty_proof,0
42,17,9,8,6,4,exhaustive,empty_proof,0
42,18,9,6,9,4,exhaustive,found,70
42,18,14,7,8,4,exhaustive,empty_proof,0
42,19,11,8,9,4,exhaustive,empty_proof,0
42,20,10,9,10,4,exhaustive,empty_proof,0
42,20,11,10,9,4,exhaustive,found,70
42,20,13,12,7,4,exhaustive,empty_proof,0
42,6,1,0,1,5,exhaustive,empty_proof,0
42,11,6,5,2,5,exhaustive,empty_proof,0
42,12,4,2,4,5,exhaustive,empty_proof,0
42,12,9,4,3,5,exhaustive,empty_proof,0
42,13,5,4,4,5,exhaustive,empty_proof,0
42,14,5,4,5,5,exhaustive,empty_proof,0
42,14,7,0,7,5,exhaustive,found,6
42,15,9,4,6,5,exhaustive,empty_proof,0
42,17,9,8,6,5,exhaustive,empty_proof,0
42,18,9,6,9,5,exhaustive,found,70
42,18,14,7,8,5,exhaustive,empty_proof,0
42,19,11,8,9,5,exhaustive,empty_proof,0
42,20,10,9,10,5,exhaustive,found,45948
42,20,11,10,9,5,exhaustive,found,70
42,20,13,12,7,5,exhaustive,found,6
44,10,4,3,2,1,exhaustive,empty_proof,0
44,11,3,2,3,1,exhaustive,empty_proof,0
44,12,8,1,4,1,exhaustive,empty_proof,0
44,17,13,4,8,1,exhaustive,empty_proof,0
44,20,10,8,10,1,exhaustive,found,594
44,20,16,10,8,1,exhaustive,empty_proof,0
44,21,11,10,10,1,exhaustive,found,594
44,10,4,3,2,3,exhaustive,empty_proof,0
44,11,3,2,3,3,exhaustive,empty_proof,0
44,12,8,1,4,3,exhaustive,empty_proof,0
44,17,13,4,8,3,exhaustive,empty_proof,0
44,20,10,8,10,3,exhaustive,found,594
44,20,16,10,8,3,ilp,infeasible_proof,0
44,21,11,10,10,3,exhaustive,found,1782
46,20,15,8,9,1,ilp,infeasible_proof,0
46,21,12,9,10,1,ilp,infeasible_proof,0
46,22,11,10,11,1,exhaustive,found,101292
48,7,2,1,1,1,exhaustive,empty_proof,0
48,9,5,0,2,1,exhaustive,empty_proof,0
48,10,6,2,2,1,exhaustive,empty_proof,0
48,11,5,4,2,1,exhaustive,empty_proof,0
48,12,4,0,4,1,exhaustive,empty_proof,0
48,13,7,2,4,1,exhaustive,empty_proof,0
48,14,8,4,4,1,exhaustive,empty_proof,0
48,15,5,4,5,1,exhaustive,empty_proof,0
48,15,7,6,4,1,exhaustive,empty_proof,0
48,16,6,4,6,1,exhaustive,empty_proof,0
48,16,8,0,8,1,exhaustive,found,6
48,17,7,6,6,1,ilp,timeout,0
48,17,12,11,3,1,exhaustive,empty_proof,0
48,18,9,3,9,1,ilp,infeasible_proof,0
48,19,13,8,7,1,exhaustive,empty_proof,0
48,19,14,5,9,1,exhaustive,empty_proof,0
48,20,10,6,10,1,ilp,timeout,0
48,20,17,7,9,1,exhaustive,empty_proof,0
48,21,13,8,10,1,ilp,timeout,0
48,21,18,9,9,1,exhaustive,empty_proof,0
48,22,11,9,11,1,ilp,infeasible_proof,0
48,22,14,10,10,1,ilp,timeout,0
48,22,17,11,9,1,exhaustive,empty_proof,0
48,23,12,11,11,1,ilp,infeasible_proof,0
48,23,13,12,10,1,ilp,timeout,0
48,23,14,13,9,1,ilp,infeasible_proof,0
48,23,15,14,8,1,ilp,timeout,0
48,23,17,16,6,1,exhaustive,empty_proof,0
48,7,2,1,1,3,exhaustive,empty_proof,0
48,9,5,0,2,3,exhaustive,empty_proof,0
48,10,6,2,2,3,exhaustive,found,384
48,11,5,4,2,3,exhaustive,found,192
48,12,4,0,4,3,exhaustive,found,12
48,13,7,2,4,3,exhaustive,found,1152
48,14,8,4,4,3,exhaustive,found,1152
48,15,5,4,5,3,exhaustive,found,7776
48,15,7,6,4,3,exhaustive,found,12
48,16,6,4,6,3,ilp,timeout,0
48,16,8,0,8,3,exhaustive,empty_proof,0
48,17,7,6,6,3,ilp,timeout,0
48,17,12,11,3,3,exhaustive,empty_proof,0
48,18,9,3,9,3,ilp,infeasible_proof,0
48,19,13,8,7,3,exhaustive,empty_proof,0
48,19,14,5,9,3,exhaustive,empty_proof,0
48,20,10,6,10,3,ilp,timeout,0
48,20,17,7,9,3,exhaustive,empty_proof,0
48,21,13,8,10,3,ilp,timeout,0
48,21,18,9,9,3,exhaustive,empty_proof,0
48,22,11,9,11,3,ilp,infeasible_proof,0
48,22,14,10,10,3,ilp,timeout,0
48,22,17,11,9,3,exhaustive,empty_proof,0
48,23,12,11,11,3,ilp,infeasible_proof,0
48,23,13,12,10,3,ilp,timeout,0
48,23,14,13,9,3,ilp,infeasible_proof,0
48,23,15,14,8,3,ilp,timeout,0
48,23,17,16,6,3,ilp,timeout,0
48,7,2,1,1,4,exhaustive,empty_proof,0
48,9,5,0,2,4,exhaustive,empty_proof,0
48,10,6,2,2,4,exhaustive,empty_proof,0
48,11,5,4,2,4,exhaustive,empty_proof,0
48,12,4,0,4,4,exhaustive,empty_proof,0
48,13,7,2,4,4,exhaustive,empty_proof,0
48,14,8,4,4,4,exhaustive,empty_proof,0
48,15,5,4,5,4,exhaustive,empty_proof,0
48,15,7,6,4,4,exhaustive,empty_proof,0
48,16,6,4,6,4,ilp,timeout,0
48,16,8,0,8,4,ilp,found,1
48,17,7,6,6,4,ilp,timeout,0
48,17,12,11,3,4,exhaustive,empty_proof,0
48,18,9,3,9,4,ilp,infeasible_proof,0
48,19,13,8,7,4,ilp,infeasible_proof,0
48,19,14,5,9,4,exhaustive,empty_proof,0
48,20,10,6,10,4,ilp,timeout,0
48,20,17,7,9,4,exhaustive,empty_proof,0
48,21,13,8,10,4,ilp,timeout,0
48,21,18,9,9,4,exhaustive,empty_proof,0
48,22,11,9,11,4,ilp,infeasible_proof,0
48,22,14,10,10,4,ilp,timeout,0
48,22,17,11,9,4,exhaustive,empty_proof,0
48,23,12,11,11,4,ilp,infeasible_proof,0
48,23,13,12,10,4,ilp,timeout,0
48,23,14,13,9,4,ilp,infeasible_proof,0
48,23,15,14,8,4,ilp,timeout,0
48,23,17,16,6,4,ilp,timeout,0
48,7,2,1,1,5,exhaustive,empty_proof,0
48,9,5,0,2,5,exhaustive,empty_proof,0
48,10,6,2,2,5,exhaustive,empty_proof,0
48,11,5,4,2,5,exhaustive,empty_proof,0
48,12,4,0,4,5,exhaustive,empty_proof,0
48,13,7,2,4,5,exhaustive,empty_proof,0
48,14,8,4,4,5,exhaustive,empty_proof,0
48,15,5,4,5,5,exhaustive,empty_proof,0
48,15,7,6,4,5,exhaustive,empty_proof,0
48,16,6,4,6,5,ilp,timeout,0
48,16,8,0,8,5,ilp,found,1
48,17,7,6,6,5,ilp,timeout,0
48,17,12,11,3,5,exhaustive,empty_proof,0
48,18,9,3,9,5,ilp,infeasible_proof,0
48,19,13,8,7,5,ilp,infeasible_proof,0
48,19,14,5,9,5,exhaustive,empty_proof,0
48,20,10,6,10,5,ilp,timeout,0
48,20,17,7,9,5,exhaustive,empty_proof,0
48,21,13,8,10,5,ilp,timeout,0
48,21,18,9,9,5,exhaustive,empty_proof,0
48,22,11,9,11,5,ilp,infeasible_proof,0
48,22,14,10,10,5,ilp,timeout,0
48,22,17,11,9,5,ilp,infeasible_proof,0
48,23,12,11,11,5,ilp,timeout,0
48,23,13,12,10,5,ilp,timeout,0
48,23,14,13,9,5,ilp,infeasible_proof,0
48,23,15,14,8,5,ilp,timeout,0
48,23,17,16,6,5,ilp,timeout,0
48,7,2,1,1,6,exhaustive,empty_proof,0
48,9,5,0,2,6,exhaustive,empty_proof,0
48,10,6,2,2,6,exhaustive,empty_proof,0
48,11,5,4,2,6,exhaustive,empty_proof,0
48,12,4,0,4,6,exhaustive,empty_proof,0
48,13,7,2,4,6,exhaustive,empty_proof,0
48,14,8,4,4,6,exhaustive,empty_proof,0
48,15,5,4,5,6,exhaustive,empty_proof,0
48,15,7,6,4,6,ilp,timeout,0
48,16,6,4,6,6,ilp,timeout,0
48,16,8,0,8,6,ilp,found,1
48,17,7,6,6,6,ilp,timeout,0
48,17,12,11,3,6,exhaustive,empty_proof,0
48,18,9,3,9,6,ilp,infeasible_proof,0
48,19,13,8,7,6,ilp,infeasible_proof,0
48,19,14,5,9,6,ilp,infeasible_proof,0
48,20,10,6,10,6,ilp,timeout,0
48,20,17,7,9,6,exhaustive,empty_proof,0
48,20,17,7,9,6,ilp,infeasible_proof,0
48,21,13,8,10,6,ilp,timeout,0
48,21,18,9,9,6,ilp,infeasible_proof,0
48,22,11,9,11,6,ilp,infeasible_proof,0
